"콘텐츠명","노키즈존","예약가능여부","룸보유여부","유아서비스기타","평일오픈시간","평일클로즈시간","주말오픈시간","주말클로즈시간","휴식시작시간","휴식종료시간","대표메뉴기타"
"돈앤돌","","","","","10:00","22:00","17:00","22:00","","",""
"돈향기","","y","","","12:00","23:00","12:00","24:00","","",""
"쓰쓰카페","","","","","","","","","","",""
"가시식당","","","","","08:30","20:00","08:30","20:00","","",""
"수철이네 왕새우튀김 제주성산점","","","","","10:30","20:00","10:30","20:00","","",""
"명문사거리식당","","","","","09:00","21:00","09:00","21:00","","",""
"모드락","","","","","10:00","22:00","10:00","22:00","","",""
"목돈","","","","","17:00","24:00","17:00","24:00","","",""
"경미네집(경미휴게소)","","","","","07:30","18:30","07:30","18:30","","",""
"그러므로","","","","","11:00","18:00","11:00","18:00","","",""
"독개물항","","","","","08:00","21:00","08:00","21:00","","",""
"파시랑","","","","","11:00","21:00","11:00","21:00","","",""
"해녀식당(동복리)","","","","","10:30","19:30","10:30","19:30","","",""
"동그라미식육식당(돈델리)","","","","","","","","","","",""
"요리하는 목수","","","","","10:00","20:00","10:00","20:00","","",""
"애월더선셋","","","","","10:00","20:00","10:00","20:00","","","치즈오믈렛, 생과일프렌치토스트, 브런치, 과일에이드"
"맵찜","","","","","11:00","21:00","11:00","21:00","","",""
"도남오거리도남점","","","","","15:00","23:00","15:00","23:00","","",""
"방듸","","","","","","21:00","","21:00","","",""
"하나로국밥","","","","","09:00","22:00","09:00","22:00","","",""
"김명자굴국밥(제주본점)","","","","","06:00","20:30","06:00","20:30","","",""
"삼다도횟집","","","","","11:00","23:00","11:00","23:00","","",""
"골목집갈치와고등어","","y","","","08:00","22:00","08:00","22:00","","",""
"산방산에 옛촌","","","","","09:00","20:00","09:00","20:00","","",""
"깡촌흑돼지","","","","","12:00","23:00","12:00","23:00","","",""
"하르방밀면(운동장점)","","","","","10:00","20:00","10:00","20:00","","",""
"마실디","","","","","09:30","20:30","09:30","20:30","","",""
"바다의집","","","","","08:00","20:00","08:00","20:00","","",""
"바다잔치","","","","","08:30","21:30","08:30","21:30","","",""
"노을과 어울림 카페","","","","","09:00","23:00","09:00","23:00","","",""
"마님순대","","","","","","","","","","",""
"바캉스샤브샤브","","","","","11:00","21:30","10:30","21:30","","",""
"깜돈 흑돼지","","","","","11:30","22:30","11:30","22:30","","",""
"제주다음","","","","","10:00","19:00","10:00","19:00","","",""
"엠츄로","","","","","12:00","24:00","12:00","24:00","","",""
"더홀스카페","","","","","10:00","18:00","10:00","18:00","","",""
"스테이위드커피","","","","","09:00","19:00","09:00","19:00","","",""
"본가","","","","","08:30","23:00","08:30","23:00","","",""
"부지깽이","","","","","11:30","22:00","11:30","22:00","","",""
"세이? 칠성로점","","","","","11:00","24:00","11:00","24:00","","",""
"포트그릴 스테이크하우스","","","","","12:00","22:00","12:00","22:00","","",""
"구름물고기","","","","","12:00","17:30","12:00","17:30","","",""
"지금이순간","","","","","09:30","20:00","09:30","20:00","","",""
"명도암수다뜰","","","","","","","","","","",""
"하얀성&더돈","","","","","08:00","23:00","08:00","23:00","","",""
"한림바다체험마을","","","","","10:00","22:00","10:00","22:00","","",""
"할매추어탕","","","","","10:00","20:30","10:00","20:30","","",""
"성춘(토종순대)","","","","","08:00","21:00","08:00","21:00","","",""
"인풍감자탕","","","","","09:00","22:00","09:00","22:00","","",""
"떡하니","","","","","11:30","18:30","11:30","18:30","","",""
"함덕카페h","","","","","10:00","20:00","10:00","20:00","","",""
"블루사이공","","","","","11:30","16:00","11:30","16:00","","",""
"꽃밭에서","","","","","07:00","18:00","07:00","18:00","","",""
"내가 찾은 맛고을","","","","","11:00","22:00","11:00","22:00","","",""
"르피라트","","","","","11:00","19:00","11:00","19:00","","",""
"해변가든(켄싱턴리조트)","","","","","17:30","23:00","17:30","23:00","","",""
"대굴대굴구이","","","","","17:00","24:00","17:00","24:00","","",""
"마노르블랑","","","","","09:00","18:30","09:00","18:30","","",""
"영해식당 (제주점)","","","","","11:00","20:00","11:00","20:00","","",""
"우도돼지네 땅콩만두","","","","","10:00","21:00","10:00","21:00","","",""
"일 이탈리아노","","","","","11:30","21:30","11:30","21:30","","",""
"리듬","","","","","11:00","20:00","11:00","20:00","","",""
"비밀의숲 카페","","","","","09:00","18:00","09:00","18:00","","",""
"빌레왓","","","","","11:00","22:00","11:00","22:00","","",""
"마므레","","","","","11:00","21:00","11:00","21:00","","",""
"서귀포네거리식당","","","","","07:00","21:40","07:00","21:40","","",""
"카이로스","","y","","","09:00","18:00","09:00","18:00","","",""
"청호식당","","","","","09:00","20:00","09:00","20:00","","",""
"로드하우스","","","","","10:00","21:00","10:00","21:00","","",""
"바그다드","","","","","11:30","23:00","11:30","23:00","","",""
"건축카페 유토피아","","","","","","","","","","",""
"리브라이프 키친앤스테이","","","","","13:00","19:00","13:00","19:00","","",""
"선미식당","","y","","","07:00","21:00","07:00","21:00","","",""
"하노이안브라더스","","y","","","11:00","21:00","11:00","21:00","","",""
"달리다방","","","","","09:30","20:30","09:30","20:30","","",""
"봉끄랑횟집","","","","","10:00","23:00","10:00","23:00","","",""
"하비마카롱","","","","","11:00","19:00","11:00","19:00","","",""
"국시트멍","","","","","08:00","17:00","11:00","16:00","","",""
"사해방흑돼지","","","","","10:00","22:00","10:00","22:00","","",""
"새콤달콤","","","","","08:00","24:00","08:00","24:00","","",""
"협재삼춘네횟집","","","","","09:00","21:00","09:00","21:00","","",""
"복여네왕돈가스","","","","","09:30","19:00","09:30","19:00","","",""
"해담은","","","","","11:00","23:00","11:00","23:00","","",""
"복자씨연탄구이","","","","","12:00","22:00","12:00","22:00","","",""
"인더오조","","","","","11:00","21:00","11:00","21:00","","",""
"우도면파전리","","","","","10:30","20:00","10:30","20:00","","",""
"모실래기해녀해물촌","","","","","","","","","","",""
"우드스탁","","","","","09:00","24:00","09:00","24:00","","",""
"채점석베이커리","","","","","08:00","22:00","08:00","22:00","","",""
"엉클통김밥(본점)","","","","","07:00","20:00","07:00","20:00","","",""
"부엌인세화","","","","","11:00","21:00","11:00","21:00","","",""
"흑돈향","","","","","17:00","23:00","17:00","23:00","","",""
"달래식당","","","","","11:00","22:00","11:00","22:00","","",""
"한량2010","","","","","08:00","19:00","12:00","19:00","","",""
"색달식당","","","","","09:00","21:30","09:00","21:30","","",""
"카페흠뻑","","","","","10:00","22:00","10:00","22:00","","",""
"피어22","","","","","11:00","17:00","11:00","17:00","","",""
"블랑로쉐","","","","","11:00","17:30","11:00","17:30","","",""
"쇼디치카페","","","","","09:00","23:00","09:00","23:00","","",""
"춘심이네 3호점","","","","","10:00","21:00","10:00","21:00","","",""
"티라미소","","","","","","","","","","",""
"한양식당","","","","","07:30","21:00","07:30","21:00","","",""
"커피가게쉬고가게","","","","","09:30","22:00","09:30","22:00","","",""
"연이네","","","","","09:00","17:00","09:00","17:00","","",""
"루스트플레이스 아라점","","","","","11:00","24:00","11:00","24:00","","",""
"방모루","","","","","09:00","21:00","09:00","21:00","","",""
"무인카페 산책","","","","","09:00","22:00","09:00","22:00","","",""
"미루네","","","","","11:30","22:30","11:30","22:30","","",""
"마음카페","","","","","10:00","17:00","10:00","17:00","","",""
"더츠커피돌핀점 (That’s Coffee Dolphin & Resort)","","","","","","","","","","",""
"협재해녀의집","","","","","09:30","20:00","09:30","20:00","","",""
"어제보다오늘","y","n","","","11:00","21:00","11:00","21:00","","","쇼콜라무스, 복숭아무스"
"삼대해녀의집","","","","","09:00","20:00","08:00","21:00","","",""
"광평도새기촌 본점","","y","","","17:00","22:00","17:00","22:00","","",""
"국수냐 국밥이냐","","","","","10:00","22:00","10:00","22:00","","",""
"유동커피","","","","","08:00","22:00","08:00","22:00","","",""
"루스트플레이스 칠성로점","","","","","11:00","23:30","11:00","23:30","","",""
"뽀요요 카페","","","","","08:00","21:00","08:00","21:00","","",""
"고요남","","","","","11:30","23:00","11:30","23:00","","",""
"하하호호(HAHAHOHO)","","","","","11:00","17:30","11:00","17:30","","",""
"해와달그리고섬","","","","","10:00","20:30","10:00","20:30","","",""
"우도 풍원","","","","","09:00","17:00","09:00","17:00","","",""
"국수의전설","","","","","09:30","15:30","09:30","15:30","","",""
"한성식당","","y","","","08:00","21:00","08:00","21:00","","",""
"성산해오름식당","","y","","","08:00","20:00","08:00","20:00","","",""
"춘천고려닭갈비","","","","","","","","","","",""
"금빌레509","","","","","11:00","17:00","11:00","17:00","","",""
"루스트플레이스 노형점","","","","","11:00","24:00","11:00","24:00","","",""
"카페더몹시","","","","","","","","","","",""
"안녕육지사람","","","","","09:00","18:30","09:00","18:30","","",""
"톰톰카레","","","","","11:00","20:00","11:00","20:00","","",""
"문어빵굽는문빵9","","","","","10:00","18:00","10:00","18:00","","",""
"바당봉봉","","","","","10:30","19:30","10:30","19:30","","",""
"허브올레","","","","","10:00","18:00","10:42","18:00","","",""
"소섬반점","","","","","11:00","18:00","11:00","18:00","","",""
"회양과 국수군","","y","","","10:30","21:00","10:30","21:00","","",""
"파도소리해녀촌","","","","","09:00","20:00","09:00","20:00","","",""
"달테이블","","","","","11:00","10:00","11:00","10:00","","",""
"후쿠오카함바그","","","","","12:00","21:00","11:30","21:00","","",""
"우도이야기","","","","","08:00","20:00","08:00","20:00","","",""
"그리운바다성산포","y","y","","","09:00","21:00","09:00","21:00","","","그리운 한상차림, 고등어회"
"코코분식","","","","","11:00","20:00","11:00","20:00","","",""
"탑동산호전복","","y","","","07:00","21:00","07:00","21:00","","",""
"얌얌돈까스","","","","","11:00","19:00","11:00","19:00","","",""
"어사촌도야지","","","","","09:00","20:30","09:00","20:30","","",""
"삼대국수회관 신제주점","","","","","09:00","04:00","09:00","04:00","","",""
"카페피크닉(르피크닉)","","y","","","08:00","21:00","08:00","21:00","","",""
"비자림부엉이","","","","","10:00","00:00","10:00","00:00","","",""
"고고리식당","","","","","11:00","21:00","11:00","21:00","","",""
"아뜰리에안","","","","","10:00","23:00","10:00","23:00","","",""
"육수명가도우락","","","","","08:00","24:00","","","","",""
"공방앤공방","","","","","","","","","","",""
"알랑가카페","","","","","","","","","","",""
"명성식당","","","","","","","","","","",""
"봉봉커피","","","","","","","","","","",""
"엉클망고","","","","","","","","","","",""
"솔향","","","","","11:00","22:00","11:00","22:00","","",""
"청정제주밥집&카페","","","","","07:00","21:00","07:00","21:00","","",""
"만덕이네","y","n","","","07:30","21:00","07:30","21:00","","","갈치조림정식, 전복문어흑돼지두루치기,접짝뼈국"
"바?식당","","","","","11:00","15:00","11:00","15:00","","",""
"바다회국수","","","","","09:30","20:00","09:30","20:00","","",""
"고망딱새","","","","","11:00","23:59","11:00","23:59","","",""
"르꼬앙","","","","","16:00","22:30","12:00","22:30","","",""
"서울떡볶이","","","","","11:30","21:00","11:30","21:00","","",""
"성읍칠십리식당","","","","","11:00","20:00","11:00","20:00","","",""
"봉이네식당","","","","","08:00","20:00","08:00","20:00","","",""
"어멍횟집","","","","","11:00","23:00","11:00","23:00","","",""
"토계정","","","","","09:00","21:00","09:00","21:00","","",""
"돈돈이네","","","","","8:00","22:00","8:00","22:00","","",""
"추자북경","","","","","11:00","19:00","11:00","19:00","","",""
"만조이천쌀밥","","","","","08:30","20:30","08:30","20:30","","",""
"1080칼국수","","","","","10:00","21:00","10:00","21:00","","",""
"뽈살집","","","","","16:00","01:00","16:00","01:00","","",""
"에피소드","","","","","10:00","20:00","10:00","20:00","","",""
"동해루","","y","","","10:30","19:30","10:30","19:30","","",""
"국수마당","","","","","08:20","22:50","08:20","22:50","","",""
"산방산초가집","","","","","11:00","20:00","11:00","20:00","","",""
"서문뒷고기","","","","","17:00","23:00","17:00","23:00","","",""
"써스티몽크제주시청점","","","","","17:00","02:00","17:00","02:00","","",""
"밀리우","","","","","11:00","22:00","11:00","22:00","","",""
"픽스커피","","","","","11:00","22:00","11:00","22:00","","",""
"일도 국수","","","","","00:00","00:00","00:00","00:00","","",""
"올레수산회센터","","","","","11:00","22:30","11:00","22:30","","",""
"마마롱(애월)","","","","","10:00","19:00","10:00","19:00","","",""
"제리스펍","","","","","17:00","02:00","17:00","02:00","","",""
"이게밥도둑","","","","","11:30","21:30","11:30","21:30","","",""
"장춘육당","","","","","12:00","23:00","12:00","23:00","","",""
"성산올레회국수","","","","","09:00","21:00","09:00","21:00","","",""
"더비치하우스","n","y","n","","12:00","22:00","12:00","22:00","","","더비치선라이즈,흑돼지크림파스타"
"명품한라봉아이스크림","","","","","07:00","21:00","07:00","21:00","","",""
"만원의행복","","","","","17:00","23:00","17:00","23:00","","",""
"그리다시카고피자&파스타","","","","","12:00","22:00","12:00","22:00","","",""
"곱을락(음식점)","","","","","11:00","21:00","11:00","21:00","","",""
"우도향","","","","","11:00","18:00","11:00","18:00","","",""
"단수이카스테라","","","","","07:00","19:00","07:00","19:00","","",""
"컬쳐드","","","","","11:00","22:30","11:00","22:30","","",""
"쏠피쉬","","","","","11:30","23:00","11:30","23:00","","",""
"아모르키친","","","","","","","","","","",""
"가파도해물짜장짬뽕","","","","","09:00","15:30","09:00","15:30","","",""
"산물통숨비소리","","","","","07:00","20:00","07:00","20:00","","",""
"일출봉쑥빵보리빵","","","","","08:00","20:00","08:00","20:00","","",""
"벨롱","","","","","10:30","19:00","10:30","19:00","","",""
"카페 사우다드","","","","","08:30","18:00","08:30","18:00","","",""
"더파크뷰(신라호텔)","","","","","07:30","21:30","07:30","21:30","","",""
"모닥식탁(카페이전으로 비공개처리)","","","","","11:00","19:30","11:00","19:30","","",""
"이찌마루","","","","","11:00","23:00","11:00","23:00","","",""
"전설의마녀","","","","","10:30","20:00","10:30","20:00","","",""
"쉐프 이야기","","","","","18:00","01:00","18:00","02:00","","",""
"어머니와장독대","","","","","10:30","21:00","10:30","21:00","","",""
"제일떡집","","","","","","","","","","",""
"성산흑돼지두루치기","","","","","11:00","21:00","11:00","21:00","","",""
"서귀포수일통닭","","","","","16:00","00:30","16:00","00:30","","",""
"리솔라 무인카페","","","","","10:00","22:00","10:00","22:00","","",""
"더 스트롱홀드","","","","","11:00","22:00","11:00","22:00","","",""
"타무라","","","","","11:00","17:00","11:00","17:00","","",""
"맛있는집","","","","","09:00","21:00","09:00","21:00","","",""
"피제리아3657","y","n","","","11:00","21:00","11:00","21:00","","","3657 하우스피자, 스페셜피자, 부팔리노피자"
"중문수원음식점","","","","","9:00","22:00","9:00","22:00","","",""
"홍어일번지","","","","","12:00","22:00","12:00","22:00","","",""
"화북코끼리식당","","","","","10:00","22:00","10:00","22:00","","",""
"성미식당","","","","","09:00","22:00","09:00","22:00","","",""
"삼다정","","","","","","","","","","",""
"옛날옛적","","","","","11:00","20:30","11:00","20:30","","",""
"바보카페","","","","","10:00","19:00","10:00","19:00","","",""
"법환어촌계횟집","","","","","11:00","22:00","11:00","22:00","","",""
"후년하우스","","","","","10:00","22:00","10:00","22:00","","",""
"흑돼지구이집 하영","","","","","10:00","22:00","10:00","22:00","","",""
"제스토리","","","","","09:00","21:00","09:00","21:00","","",""
"왕대포 연동점","","","","","17:00","05:00","17:00","05:00","","",""
"천지연해물전복뚝배기","","","","","","","","","","",""
"천리식당","","","","","09:00","17:00","09:00","17:00","","",""
"카페오름","","","","","09:30","19:00","09:30","19:00","","",""
"제주침시술소바 (오로라식품)","","","","","11:00","15:00","11:00","15:00","","",""
"야자수 식당","","","","","09:00","18:00","09:00","18:00","","",""
"올래회어촌","","","","","09:00","22:00","09:00","22:00","","",""
"안다미로","","","","","10:00","21:00","10:00","21:00","","",""
"옛정의골 식당","","","","","","","","","","",""
"오라숲소리","","","","","11:00","21:00","11:00","21:00","","",""
"우림일식","","","","","10:00","22:00","10:00","22:00","","",""
"바다는안보여요","","","","","10:00","22:00","10:00","22:00","","",""
"퍼스트노엘","","","","","10:00","19:00","12:00","20:00","","",""
"시스베이글","","","","","11:00","18:00","11:00","18:00","","",""
"산지물식당(건입동본점)","","","","","08:00","22:30","08:00","22:30","","",""
"동북왕","","","","","11:00","25:00","11:00","25:00","","",""
"순희뽀글이","","","","","07:00","17:00","07:00","17:00","","",""
"승범이네집","","","","","11:00","23:00","11:00","23:00","","",""
"퍼시픽 리솜 엘마리노 뷔페","","y","","","12:00","20:00","12:00","20:00","","",""
"절물자연휴양림휴게소","y","n","","","08:00","18:00","08:00","18:00","","","음료, 스낵, 어묵리카노"
"동양식당","","","","","08:00","21:00","08:00","21:00","","",""
"사형제횟집","","","","","11:00","22:00","11:00","22:00","","",""
"홍돈깡통연탄구이","","","","","11:00","00:00","11:00","00:00","","",""
"카페코지","","","","","08:00","22:00","08:00","22:00","","",""
"딤섬9898","y","y","","","11:00","20:50","11:00","20:50","","","고기샤오룽바오, 새우샤오마이, 꿔바로우"
"생원전복","","","","","10:00","22:00","10:00","22:00","","",""
"위더스트래블","","","","","10:00","22:00","10:00","22:00","","",""
"유스커피","","","","","08:00","18:00","11:00","18:00","","",""
"윤옥","y","n","","","11:30","20:00","11:30","20:00","","","윤라멘, 쇼유라멘, 토마토절임, 닭껍질교자"
"호랑이해장국","","","","","","","","","","",""
"성광식당","","","","","10:00","20:00","10:00","20:00","","",""
"성산진미식당","","","","","08:00","21:00","08:00","21:00","","",""
"등경돌식당","","","","","08:00","21:00","08:00","21:00","","",""
"송악산 엉클스 화덕 피자","","","","","10:00","19:00","10:00","19:00","","",""
"용림식당","","","","","11:00","22:00","11:00","22:00","","",""
"아라파파 a la papa","","","","","08:00","22:00","08:00","22:00","","",""
"용담생국수","","","","","","","","","","",""
"스시마시","","","","","11:00","21:30","11:00","21:30","","",""
"허벅식당","","y","","","09:00","21:00","09:00","21:00","","",""
"고불락","","","","","08:00","21:00","08:00","21:00","","",""
"환상의짜장","","","","","","","","","","",""
"담아래","n","","","","11:00","16:00","11:00","16:00","","",""
"하얀산호식당","","","","","","","","","","",""
"우도왕자이야기","","","","","08:30","18:00","08:30","18:00","","",""
"이어도식당","","","","","07:00","20:00","07:00","20:00","","",""
"바당지기","","","","","09:00","21:00","09:00","21:00","","",""
"보목해녀의집","","","","","10:00","20:00","10:00","20:00","","",""
"수우동","","","","","10:30","17:00","10:30","17:00","","",""
"kim여사의밥상","","","","","11:00","20:30","11:00","20:30","","",""
"최고집","","","","","16:00","23:00","16:00","23:00","","",""
"슬로우카페","","","","","09:00","20:00","09:00","20:00","","",""
"킴스커틀렛","y","y","","","11:00","22:00","11:00","22:00","","","샐러드돈까스, 해물볶음우동, 왕돈까스"
"날것","","","","","16:00","02:00","16:00","02:00","","",""
"허브팜카페","","","","","10:00","21:00","10:00","21:00","","",""
"키다리아저씨","","","","","09:00","17:00","09:00","17:00","","",""
"맛좋은디","","","","","","","","","","",""
"망고홀릭 제주본점","","","","","10:00","22:00","10:00","22:00","","",""
"아싸횟집","","","","","11:30","23:30","11:30","23:30","","",""
"카페루나","","","","","10:00","20:00","10:00","20:00","","",""
"뉴저지카페","","","","","11:00","21:00","11:00","21:00","","",""
"안거리밖거리","","","","","08:00","21:00","08:00","21:00","","",""
"고벤져스(본점)","","","","","15:00","01:00","15:00","01:00","","",""
"백기해녀의 집","","","","","07:30","18:00","07:30","18:00","","",""
"중문대들보","","","","","08:30","21:00","08:30","21:00","","",""
"가산토방 식당","","","","","11:00","22:00","11:00","22:00","","",""
"미소짓는 흑도야지","","","","","11:00","22:00","11:00","22:00","","",""
"구닮카페(구름을닮다)","","","","","09:00","19:00","09:00","19:00","","",""
"해오름정육식당","","","","","12:00","22:00","12:00","22:00","","",""
"타이웍","y","","","","11:30","22:00","11:30","22:00","","","뿌빳퐁커리, 새우팟타이, 소고기쌀국수"
"유기농커피 카페다","","","","","08:00","23:00","08:00","23:00","","",""
"키친오브꾸르다기","","","","","18:00","01:00","18:00","01:00","","",""
"바위소리","","","","","","","","","","",""
"잔디가미","","","","","09:00","18:00","09:00","18:00","","",""
"윤비자","","","","","11:00","02:00","11:00","02:00","","",""
"윤식당","","","","","13:30","21:30","12:30","21:30","","",""
"허브랑","","","","","10:30","21:00","10:30","21:00","","",""
"카페제주동네","","","","","10:00","18:00","10:00","18:00","","",""
"그림상회화덕피자","","","","","11:30","18:00","","","","",""
"비어라운드(Be around)","","","","","10:00","20:00","10:00","20:00","","",""
"마라톤식당","","","","","","","","","","",""
"스시우다","","","","","11:30","22:00","11:30","22:00","","",""
"문어빵굽는 문빵9 서귀포올레시장","","","","","","","","","","",""
"제주이야기","","","","","09:00","18:00","09:00","18:00","","",""
"백양닭집","","","","","08:00","20:30","08:00","20:30","","",""
"판포분식","","","","","11:30","18:30","11:30","18:30","","",""
"다담은","","","","","11:00","21:00","11:00","21:00","","",""
"꽃담팥집카페","","","","","06:00","19:00","06:00","19:00","","",""
"카페다랑쉬","","","","","","","","","","",""
"이런날엔카페&레스토랑","","","","","11:00","21:00","11:00","21:00","","",""
"연정식당","","","","","09:00","21:00","09:00","21:00","","",""
"다금바리스타","","","","","10:00","21:00","10:00","21:00","","",""
"오조파스타앤피자","","","","","11:30","21:30","11:30","21:30","","",""
"루스트플레이스 제원점","","","","","11:00","24:00","11:00","24:00","","",""
"갈치 카페","","","","","","","","","","",""
"앤트러사이트","","","","","09:00","18:00","09:00","18:00","","",""
"삼일식당","","","","","06:00","14:00","06:00","14:00","","",""
"노조미","","","","","11:00","21:00","11:00","21:00","","",""
"코코부코","","","","","","","","","","",""
"석촌식당","","","","","","","","","","",""
"종종캐주얼다이닝","","y","","","11:00","22:00","11:00","15:00","","",""
"옛날동문시장칼국수","","","","","09:30","20:00","09:30","20:00","","",""
"다가미(도남)","","","","","07:00","15:00","07:00","15:00","","",""
"명진전복","","","","","09:30","21:30","09:30","21:30","","",""
"월정리에서브런치","","","","","09:00","16:30","09:00","16:30","","",""
"새벽숯불가든","","","","","12:30","22:00","12:30","22:00","","",""
"제주삼다국수","","","","","10:00","22:00","10:00","22:00","","",""
"제주전복이야기","","","","","09:00","21:00","09:00","21:00","","",""
"루스트플레이스 시청점","","","","","11:00","24:00","11:00","24:00","","",""
"루스트플레이스 아이파크점","","","","","11:00","24:00","11:00","24:00","","",""
"비올레제주","","","","","11:30","21:00","11:30","21:00","","",""
"만부정","","","","","08:00","21:30","08:00","21:30","","",""
"웰컴식당","y","y","y","","09:00","23:30","21:00","07:30","00:00","00:00",""
"미엘드세화","","","","","10:00","18:00","10:00","18:00","","","미엘커피, 당근케이크, 생크림케이크"
"리치망고 도두해안로점","y","y","","","10:00","21:00","10:00","21:00","","","스페셜망고쉐이크, 코코넛애플망고쉐이크"
"삼일해장국","y","n","","","07:00","13:30","07:00","13:30","","","해장국, 소내장탕"
"사려니숲길화덕피자","","","","","11:00","19:00","11:00","19:00","","",""
"성아시","","","","","09:00","20:00","09:00","20:00","","",""
"바람카페","","","","","12:00","21:00","12:00","21:00","","",""
"빠라빠빵","","","","","11:00","22:00","11:00","22:00","","",""
"키친그듸","","","","","11:00","21:00","11:00","21:00","","",""
"황금륭 버거","","","","","09:30","19:00","09:30","19:00","","",""
"애월리안","","","","","10:30","15:00","10:30","21:00","","",""
"원조마라도짜장면","","","","","10:00","16:00","10:00","16:00","","",""
"서바당횟집","","","","","","","","","","",""
"선흘방주할매식당","","","","","10:00","19:00","10:00","19:00","","",""
"매기의 추억","","","","","09:00","20:00","09:00","20:00","","",""
"올레삼다정","","","","","11:00","21:00","11:00","21:00","","",""
"제스피","","","","","18:00","01:00","18:00","01:00","","",""
"칠사돈","","","","","15:00","22:00","15:00","22:00","","",""
"돌코롬허니","","","","","","","","","","",""
"제주토속","","","","","06:00","18:30","06:00","18:30","","",""
"천제연토속음식점","","","","","8:00","22:00","8:00","22:00","","",""
"천해천","","","","","11:00","22:00","11:00","22:00","","",""
"빠빠라기","","","","","12:00","23:30","12:00","23:30","","",""
"밥빠","","","","","10:00","20:00","10:00","20:00","","",""
"앞뱅디식당","","","","","08:30","21:30","08:30","21:30","","",""
"제주 바닷가의 나루터","","","","","08:00","21:00","08:00","21:00","","",""
"제주뚝배기","","","","","08:30","20:30","08:30","20:30","","",""
"제주올레섬","","","","","10:00","22:00","10:00","22:00","","",""
"리치망고","","","","","10:00","18:30","10:00","18:30","","",""
"친구네 분식","","","","","9:00","20:00","9:00","20:00","","",""
"레이식당","n","","","","11:30","22:00","11:30","22:00","","",""
"제주해물밥","","","","","10:00","20:00","10:00","20:00","","",""
"제주흑돈세상수라간","","","","","12:00","22:00","12:00","22:00","","",""
"중문신라원","","","","","09:30","22:00","09:30","22:00","","",""
"지중해그릴","","","","","11:00","22:00","11:00","22:00","","",""
"한우네백년해장국","","","","","06:00","22:00","06:00","22:00","","",""
"바다어사또","","","","","10:00","22:00","10:00","22:00","","",""
"베지그랑","","","","","12:00","20:00","12:00","20:00","","",""
"서귀포바당물회","","","","","11:00","22:30","11:00","22:30","","",""
"유나카페","","","","","11:00","20:00","11:00","20:00","","",""
"석다원","","","","","09:00","18:00","09:00","18:00","","",""
"추억의 집","","","","","10:00","22:00","10:00","22:00","","",""
"평대성게국수","","","","","10","18:00","10","18:00","","",""
"경성통닭","","","","","07:00","21:00","07:00","21:00","","",""
"꽃향유","","","","","10:00","20:00","10:00","20:00","","",""
"루스트플레이스 외도점","","","","","11:00","24:00","11:00","24:00","","",""
"커피앤빵","","","","","","","","","","",""
"행복미가","","","","","11:00","22:00","11:00","22:00","","",""
"평대랑 그네랑","","","","","11:50","19:00","11:50","19:00","","",""
"아오리의 행방불명","","n","","","11:30","19:00","11:30","19:00","","","아오리라멘 Lite 8,000 아오리라멘 10,000 미소라멘 10,000 토핑 별도"
"미인계 카페","","","","","","","","","","",""
"다람쥐 식탁","","","","","10:00","19:00","10:00","19:00","","",""
"카페힐스","y","n","","","06:00","22:00","06:00","22:00","","",""
"김희선제주몸국","","","","","07:30","17:00","07:30","15:00","","",""
"오드랑베이커리","","","","","07:00","22:00","07:00","22:00","","",""
"복단지식당","","","","","","","","","","",""
"루피카페","","","","","","","","","","",""
"황금무지개","","","","","11:30","21:30","11:30","21:30","","",""
"루스트플레이스 베라체점","","","","","11:00","24:00","11:00","24:00","","",""
"쉬는팡가든","","","","","11:00","21:00","11:00","21:00","","",""
"제주올레횟집","","","","","16:00","22:30","16:00","22:30","","",""
"월령203","","","","","11:00","19:00","","","","",""
"그대와함께라면","","y","","","10:00","20:00","10:00","20:00","","",""
"서민흑돼지","","","","","11:00","23:00","11:00","23:00","","",""
"구이향연동점","","","","","11:00","23:00","17:00","23:00","","",""
"돈가","","","","","11:00","22:00","11:00","22:00","","",""
"옹포횟집","","","","","11:00","22:00","11:00","22:00","","",""
"마초그릴","","","","","11:30","22:00","11:30","22:00","","",""
"어반르토아","","","","","09:00","23:00","09:00","23:00","","",""
"귤꽃","","","","","12:00","18:00","12:00","18:00","","",""
"COOK FATHER(쿡파더)","","","","","10:00","22:00","10:00","22:00","","",""
"다육이풍경","","","","","10:00","18:00","10:00","18:00","","",""
"착한마녀김밥","","","","","07:00","21:00","07:00","21:00","","",""
"이오리","","","","","08:30","22:00","08:30","22:00","","",""
"일오삼가든","","","","","","","","","","",""
"루스트플레이스 삼화점","","","","","11:00","24:00","11:00","24:00","","",""
"루스트플레이스 서귀포점","","","","","11:00","24:00","11:00","24:00","","",""
"누룽지식당","","","","","10:30","21:00","10:30","21:00","","",""
"파리바게트 제스코본점","","","","","","","","","","",""
"파리바게트 애월","","","","","","","","","","",""
"달빛머금은카페","","","","","11:00","01:30","11:00","01:30","","",""
"우진해장국","","","","","06:00","22:00","06:00","22:00","","",""
"소울키친","","","","","11:00","17:00","11:00","17:00","","",""
"에스프레소 라운지","","","","","09:00","01:00","09:00","01:00","","",""
"정서방해물뚝배기","","","","","07:00","21:00","07:00","21:00","","",""
"제주담","","","","","10:00","21:00","10:00","21:00","","",""
"문동일셰프녹차고을","","","","","10:00","21:00","10:00","21:00","","",""
