"여행일정ID","언어코드","제목","조회수","공유수","여행시작일","여행종료일","인원","여행기간","태그","등록일시","수정일시","추천일정등록여부","공개여부","댓글수","댓글수_1","북마크수","사용여부","SNS공유수","인기점수"
"1492","KR","1",0,0,17/05/30,17/06/03,1,4,"혼자,휴식과 치유 여행",17/05/14,18/04/13,"n","N",0,0,0,"y",0,
"1522","KR","6월 혼행인듯 아닌듯",0,0,17/06/09,17/06/11,1,2,"혼자,휴식과 치유 여행",17/05/23,18/04/13,"n","N",0,0,0,"y",0,
"1700","KR","ㄱㄱ",1,0,17/07/06,17/07/08,1,2,"혼자,휴식과 치유 여행",17/07/05,19/07/21,"n","N",0,0,0,"y",0,2
"1708","KR","ㅗㅓ",0,0,17/07/25,17/07/27,1,2,"혼자,휴식과 치유 여행",17/07/08,18/04/13,"n","N",0,0,0,"y",0,
"1770","KR","제주도",0,0,17/08/23,17/08/26,1,3,"혼자,휴식과 치유 여행",17/07/20,18/04/13,"n","N",0,0,0,"y",0,
"1804","KR","2017 여름",0,0,17/08/04,17/08/07,1,3,"혼자,휴식과 치유 여행",17/07/28,18/04/13,"n","N",0,0,0,"y",0,
"1863","KR","독고다이",2,0,17/09/07,17/09/11,1,4,"혼자,휴식과 치유 여행",17/08/09,20/05/31,"n","Y",0,0,0,"y",0,4
"1985","KR","진호와 한슬이의 1000일 기념 제주도 여행 ♥",0,0,17/09/04,17/09/07,1,3,"혼자,휴식과 치유 여행",17/09/02,18/04/13,"n","Y",0,0,0,"y",0,
"2049","KR","1",0,0,17/09/11,17/09/12,1,1,"혼자,휴식과 치유 여행",17/09/09,18/04/13,"n","N",0,0,0,"y",0,
"2204","KR","효도여행",0,0,17/10/15,17/10/17,1,2,"혼자,휴식과 치유 여행",17/10/12,18/04/13,"n","N",0,0,0,"y",0,
"2247","KR","팔순 노부모님과 중년의 두 딸 부부가 함께하는 죽기전 소원 들어주기 두 번째 제주도 여행",0,0,17/10/20,17/10/22,1,2,"혼자,휴식과 치유 여행",17/10/18,18/04/13,"n","N",0,0,0,"y",0,
"2255","KR","2017 여의도순복음총회신학교 졸업여행 일정 1안",0,0,17/10/26,17/10/27,1,1,"혼자,휴식과 치유 여행",17/10/20,18/04/13,"n","N",0,0,0,"y",0,
"1852","KR","제주도 2박3일 여행",0,0,17/08/09,17/08/11,1,2,"혼자,휴식과 치유 여행",17/08/05,18/04/13,"n","Y",0,0,0,"y",0,
"1864","KR","하나",0,0,17/09/10,17/09/13,1,3,"혼자,휴식과 치유 여행",17/08/10,18/04/13,"n","N",0,0,0,"y",0,
"1946","KR","dd",0,0,17/09/12,17/09/13,1,1,"혼자,휴식과 치유 여행",17/08/28,18/04/13,"n","N",0,0,0,"y",0,
"1966","KR","가족여행",1,0,17/09/01,17/09/03,1,2,"혼자,휴식과 치유 여행",17/08/29,18/06/06,"n","Y",0,0,0,"y",0,2
"2121","KR","가족여행",0,0,17/10/06,17/10/09,1,3,"혼자,휴식과 치유 여행",17/09/24,18/04/13,"n","N",0,0,0,"y",0,
"2136","KR","우리여행",0,0,17/10/01,17/10/05,1,4,"혼자,휴식과 치유 여행",17/09/28,18/04/13,"n","N",0,0,0,"y",0,
"2257","KR","#thejosgojeju2018",0,0,18/03/06,18/03/10,1,4,"혼자,휴식과 치유 여행",17/10/21,18/04/13,"n","Y",0,0,0,"y",0,
"1707","KR","몽쿠들의 제주도 여행",0,0,17/07/10,17/07/13,1,3,"혼자,휴식과 치유 여행",17/07/07,18/04/13,"n","N",0,0,0,"y",0,
"1799","KR","미란이네 가족여행",0,0,17/08/01,17/08/04,1,3,"혼자,휴식과 치유 여행",17/07/27,18/04/13,"n","Y",0,0,0,"y",0,
"1868","KR","남자 넷이서 2박3일 제주도한바퀴 동-서부",0,0,17/08/29,17/08/31,1,2,"혼자,휴식과 치유 여행",17/08/11,18/04/13,"n","Y",0,0,0,"y",0,
"1876","KR","어머니 칠순기념 여행",0,0,17/08/20,17/08/22,1,2,"혼자,휴식과 치유 여행",17/08/16,18/04/13,"n","Y",0,0,0,"y",0,
"1924","KR","신혼^^",0,0,17/09/10,17/09/11,1,1,"혼자,휴식과 치유 여행",17/08/23,18/04/13,"n","N",0,0,0,"y",0,
"1969","kr","켄싱턴리조트",2,0,17/09/25,17/09/27,7,3,"휴식과 치유 여행,부모,효도",17/08/29,18/12/18,"n","y",0,0,0,"y",0,4
"1981","KR","제주한바퀴(해안도로 중심)",0,0,17/09/07,17/09/08,1,1,"혼자,휴식과 치유 여행",17/09/01,18/04/13,"n","N",0,0,0,"y",0,
"2020","KR","지우선우",0,0,17/09/09,17/09/12,1,3,"혼자,휴식과 치유 여행",17/09/08,18/04/13,"n","N",0,0,0,"y",0,
"2025","KR","9월9일 여행",0,0,17/09/09,17/09/10,1,1,"혼자,휴식과 치유 여행",17/09/08,18/04/13,"n","Y",0,0,0,"y",0,
"2074","KR","떠나요! 제주도!",0,0,17/09/16,17/09/19,1,3,"혼자,휴식과 치유 여행",17/09/12,18/04/13,"n","Y",0,0,0,"y",0,
"2117","KR","제주여행",1,0,17/09/25,17/09/26,1,1,"혼자,휴식과 치유 여행",17/09/21,18/05/30,"n","Y",0,0,0,"y",0,2
"2129","KR","asd",1,0,17/10/01,17/10/04,1,3,"혼자,휴식과 치유 여행",17/09/26,19/03/18,"n","N",0,0,0,"n",0,2
"1813","KR","제주도 여행",0,0,17/08/01,17/08/03,1,2,"혼자,휴식과 치유 여행",17/07/31,18/04/13,"n","N",0,0,0,"y",0,
"1819","KR","2017여름",0,0,17/08/31,17/09/03,1,3,"혼자,휴식과 치유 여행",17/08/01,18/04/13,"n","N",0,0,0,"y",0,
"1778","KR","첫제주도",0,0,17/07/24,17/07/26,1,2,"혼자,휴식과 치유 여행",17/07/21,18/04/13,"n","Y",0,0,0,"y",0,
"1789","KR","1일 핫스팟 여행",1,0,17/07/26,17/07/27,1,1,"혼자,휴식과 치유 여행",17/07/25,18/05/21,"n","Y",0,0,0,"y",0,2
"1820","KR","2017-8월 제주여행",0,0,17/08/21,17/08/23,1,2,"혼자,휴식과 치유 여행",17/08/01,18/04/13,"n","N",0,0,0,"y",0,
"1871","KR","2017 여름휴가",0,0,17/08/31,17/09/03,1,3,"혼자,휴식과 치유 여행",17/08/14,18/04/13,"n","N",0,0,0,"y",0,
"2012","KR","ㅇㅇ",0,0,17/09/29,17/10/02,1,3,"혼자,휴식과 치유 여행",17/09/07,18/04/13,"n","N",0,0,0,"y",0,
"2050","KR","1",0,0,17/09/11,17/09/12,1,1,"혼자,휴식과 치유 여행",17/09/09,18/04/13,"n","N",0,0,0,"y",0,
"2152","KR","나의 제주 여행기",0,0,17/10/18,17/10/19,1,1,"혼자,휴식과 치유 여행",17/10/03,18/04/13,"n","Y",0,0,0,"y",0,
"2790","KR","봄을 즐기러 왔다",0,0,18/03/12,18/03/16,1,4,"혼자,휴식과 치유 여행",18/03/06,18/04/13,"n","N",0,0,0,"y",0,
"2900","KR","제주도",0,0,18/03/31,18/04/01,1,1,"혼자,휴식과 치유 여행",18/03/29,18/04/13,"n","N",0,0,0,"y",0,
"2346","KR","dg",0,0,17/11/09,17/11/11,1,2,"혼자,휴식과 치유 여행",17/11/05,18/04/13,"n","N",0,0,0,"y",0,
"2410","KR","신나는 제주여행~!",0,0,17/12/01,17/12/04,1,3,"혼자,휴식과 치유 여행",17/11/21,18/04/13,"n","N",0,0,0,"y",0,
"2626","KR","제주도 3박 4일 일정!!!!!!",0,0,18/01/30,18/02/02,1,3,"혼자,휴식과 치유 여행",18/01/23,18/04/13,"n","N",0,0,0,"y",0,
"2756","KR","우리가족 제주여행",0,0,18/03/01,18/03/05,1,4,"혼자,휴식과 치유 여행",18/02/27,18/04/13,"n","N",0,0,0,"y",0,
"2771","KR","4박5일 엄마랑",0,0,18/03/11,18/03/15,1,4,"혼자,휴식과 치유 여행",18/03/04,18/04/13,"n","Y",0,0,0,"y",0,
"2902","KR","가족여행",0,0,18/03/31,18/04/02,1,2,"혼자,휴식과 치유 여행",18/03/30,18/04/13,"n","N",0,0,0,"y",0,
"2948","KR","힐링~~  가족여행",0,0,18/04/24,18/04/26,1,2,"혼자,휴식과 치유 여행",18/04/08,18/04/13,"n","N",0,0,0,"y",0,
"2972","KR","z",0,0,18/04/14,18/04/16,1,2,"혼자,휴식과 치유 여행",18/04/12,18/04/13,"n","N",0,0,0,"y",0,
"2332","KR","나홀로제주",0,0,17/11/13,17/11/16,1,3,"혼자,휴식과 치유 여행",17/11/05,18/04/13,"n","Y",0,0,0,"y",0,
"2436","KR","12",0,0,17/12/09,17/12/10,1,1,"혼자,휴식과 치유 여행",17/12/03,19/05/20,"n","Y",0,0,0,"n",0,
"2590","KR","제주",0,0,18/01/12,18/01/19,1,7,"혼자,휴식과 치유 여행",18/01/09,18/04/13,"n","N",0,0,0,"y",0,
"2728","KR","제주도 1박 2일",0,0,18/02/21,18/02/22,1,1,"혼자,휴식과 치유 여행",18/02/20,18/04/13,"n","N",0,0,0,"y",0,
"2832","KR","나홀로 떠나 보는 여행",0,0,18/03/28,18/03/31,1,3,"혼자,휴식과 치유 여행",18/03/16,18/04/13,"n","N",0,0,0,"y",0,
"2947","KR","2.3일 힐링여행",0,0,18/04/12,18/04/14,1,2,"혼자,휴식과 치유 여행",18/04/08,18/04/13,"n","N",0,0,0,"y",0,
"2614","KR","123",0,0,18/01/17,18/01/20,1,3,"혼자,휴식과 치유 여행",18/01/17,18/04/13,"n","N",0,0,0,"y",0,
"2652","KR","♥",0,0,18/02/10,18/02/13,1,3,"혼자,휴식과 치유 여행",18/01/31,18/04/13,"n","N",0,0,0,"y",0,
"2691","KR","바다다 고고",0,0,18/02/10,18/02/11,1,1,"혼자,휴식과 치유 여행",18/02/09,18/04/13,"n","N",0,0,0,"y",0,
"2713","KR","제주도 가즈앗!!",0,0,18/02/16,18/02/17,1,1,"혼자,휴식과 치유 여행",18/02/13,18/04/13,"n","N",0,0,0,"y",0,
"2738","KR","가족여행",0,0,18/03/02,18/03/04,1,2,"혼자,휴식과 치유 여행",18/02/23,18/04/13,"n","N",0,0,0,"y",0,
"2829","KR","수학여행",0,0,18/05/13,18/05/15,1,2,"혼자,휴식과 치유 여행",18/03/16,18/04/13,"n","N",0,0,0,"y",0,
"2421","KR","제주~",0,0,17/12/26,17/12/29,1,3,"혼자,휴식과 치유 여행",17/11/28,18/04/13,"n","Y",0,0,0,"y",0,
"2423","KR","건영이와 2박3일",0,0,17/12/05,17/12/07,1,2,"혼자,휴식과 치유 여행",17/11/29,18/04/13,"n","N",0,0,0,"y",0,
"2573","KR","*/",0,0,18/01/08,18/01/10,1,2,"혼자,휴식과 치유 여행",18/01/05,18/04/13,"n","N",0,0,0,"y",0,
"2760","kr","정운여진제주여행",1,0,18/04/07,18/04/09,2,3,"휴식과 치유 여행,커플,생일",18/02/28,18/08/04,"n","n",0,0,0,"y",0,2
"2795","KR","ㅇ",0,0,18/03/30,18/03/31,1,1,"혼자,휴식과 치유 여행",18/03/09,18/04/13,"n","N",0,0,0,"y",0,
"2797","KR","제주어머니",0,0,18/04/05,18/04/07,1,2,"혼자,휴식과 치유 여행",18/03/10,18/04/13,"n","N",0,0,0,"y",0,
"2871","KR","제주도 수학여행",4,0,18/05/13,18/05/16,1,3,"혼자,휴식과 치유 여행",18/03/21,21/04/15,"n","Y",0,0,0,"y",0,8
"2888","KR","ㅎㅎ",0,0,18/03/26,18/03/28,1,2,"혼자,휴식과 치유 여행",18/03/25,18/04/13,"n","N",0,0,0,"y",0,
"2312","KR","여행",0,0,17/12/30,17/12/31,1,1,"혼자,휴식과 치유 여행",17/11/01,18/04/13,"n","N",0,0,0,"y",0,
"2546","KR","임가네 가족여행 떠나요 제주도 !",0,0,17/12/30,18/01/01,1,2,"혼자,휴식과 치유 여행",17/12/29,18/04/13,"n","N",0,0,0,"y",0,
"2659","KR","태민이제주도간다미",0,0,18/02/26,18/03/02,1,4,"혼자,휴식과 치유 여행",18/02/03,18/04/13,"n","Y",0,0,0,"y",0,
"2687","KR","초록레몬",1,0,18/02/24,18/02/26,1,2,"혼자,휴식과 치유 여행",18/02/06,19/02/01,"n","N",0,0,0,"y",0,2
"2746","KR","1111",0,0,18/03/06,18/03/09,1,3,"혼자,휴식과 치유 여행",18/02/26,18/04/13,"n","N",0,0,0,"y",0,
"2261","KR","1",0,0,17/11/06,17/11/08,1,2,"혼자,휴식과 치유 여행",17/10/21,18/04/13,"n","N",0,0,0,"y",0,
"2306","KR","1박2일",0,0,17/11/11,17/11/12,1,1,"혼자,휴식과 치유 여행",17/10/31,18/04/13,"n","N",0,0,0,"y",0,
"2309","KR","[20171102-08] 따로 또 같이",0,0,17/11/02,17/11/08,1,6,"혼자,휴식과 치유 여행",17/10/31,18/04/13,"n","N",0,0,0,"y",0,
"2425","KR","저염식 투어",0,0,17/12/04,17/12/07,1,3,"혼자,휴식과 치유 여행",17/11/29,18/04/13,"n","N",0,0,0,"y",0,
"2515","KR","가족",0,0,17/12/23,17/12/25,1,2,"혼자,휴식과 치유 여행",17/12/20,18/04/13,"n","N",0,0,0,"y",0,
"2517","KR","12/25~12/28",0,0,17/12/25,17/12/28,1,3,"혼자,휴식과 치유 여행",17/12/21,18/04/13,"n","N",0,0,0,"y",0,
"2581","KR","재헌이",1,0,18/01/14,18/01/16,1,2,"혼자,휴식과 치유 여행",18/01/07,18/11/12,"n","Y",0,0,0,"y",0,2
"2624","KR","jinsols jeju stroy",0,0,18/01/26,18/01/28,1,2,"혼자,휴식과 치유 여행",18/01/22,18/04/13,"n","N",0,0,0,"y",0,
"2635","KR","가족여행",0,0,18/06/06,18/06/09,1,3,"혼자,휴식과 치유 여행",18/01/26,18/04/13,"n","N",0,0,0,"y",0,
"2791","KR","엄마랑 제주도 여행",0,0,18/03/09,18/03/11,1,2,"혼자,휴식과 치유 여행",18/03/07,18/04/13,"n","N",0,0,0,"y",0,
"415","CN","ewqewq",0,0,16/06/16,16/06/17,1,1,"혼자,휴식과 치유 여행",16/06/16,18/04/13,"n","Y",0,0,0,"y",0,
"483","JP","ㅠㅗㄷ공ㅀㄷㅀ",0,0,16/06/20,16/06/21,1,1,"혼자,휴식과 치유 여행",16/06/19,18/04/18,"n","Y",0,0,0,"n",0,
"484","EN","나호ㅓㄹ호호",0,0,16/06/23,16/06/27,1,4,"혼자,휴식과 치유 여행",16/06/19,18/04/18,"n","Y",0,0,0,"n",0,
"360","KR","123123",0,0,16/06/30,16/07/01,1,1,"혼자,휴식과 치유 여행",16/06/14,18/04/13,"n","Y",0,0,0,"y",0,
"636","EN","qwer",0,0,16/07/20,16/07/21,1,1,"혼자,휴식과 치유 여행",16/07/04,18/04/13,"n","Y",0,0,0,"y",0,
"638","EN","cxvxcvxz",0,0,16/07/31,16/08/01,1,1,"혼자,휴식과 치유 여행",16/07/04,18/04/13,"n","Y",0,0,0,"y",0,
"639","EN","cxcxcxcxcxxc",0,0,16/07/23,16/07/24,1,1,"혼자,휴식과 치유 여행",16/07/04,18/04/13,"n","Y",0,0,0,"y",0,
"651","KR","ㅁㅁㅁㅁ",0,0,16/07/22,16/07/28,1,6,"혼자,휴식과 치유 여행",16/07/07,18/04/13,"n","Y",0,0,0,"y",0,
"736","JP","州島旅行1泊2日①",2,0,16/07/16,16/07/17,1,1,"혼자,휴식과 치유 여행",16/07/13,18/05/24,"n","Y",0,0,0,"y",0,4
"771","JP","海をしむ３泊４日",0,0,16/09/08,16/09/11,1,3,"혼자,휴식과 치유 여행",16/07/14,18/05/15,"n","Y",0,0,0,"y",0,
"783","JP","芸術の秋、州島の旅",1,0,16/11/05,16/11/11,1,6,"혼자,휴식과 치유 여행",16/07/14,18/05/15,"n","Y",0,0,0,"y",0,2
"786","JP","1週間で州を回りきる！",0,0,16/07/16,16/07/23,1,7,"혼자,휴식과 치유 여행",16/07/14,18/05/15,"n","Y",0,0,0,"y",0,
"788","EN","Explore the Coast of Jeju",1,0,16/08/15,16/08/20,1,5,"혼자,휴식과 치유 여행",16/07/15,18/05/15,"n","Y",0,0,0,"y",0,2
"790","EN","Experience the Sea and Land of Jeju",0,0,16/08/10,16/08/16,1,6,"혼자,휴식과 치유 여행",16/07/15,18/05/15,"n","Y",0,0,0,"y",0,
"792","EN","North, South, East, West of Jeju",3,0,16/08/22,16/08/29,1,7,"혼자,휴식과 치유 여행",16/07/15,18/05/15,"n","Y",0,0,0,"y",0,6
"1045","KR","제주 동부코스 1박 2일",1,0,16/12/01,16/12/02,1,1,"혼자,휴식과 치유 여행",16/12/25,18/05/04,"n","Y",0,0,1,"y",0,2
"1300","KR","스쿠터여행",0,0,17/04/01,17/04/03,1,2,"혼자,휴식과 치유 여행",17/03/14,18/04/13,"n","N",0,0,0,"y",0,
"760","KR","북제주 알고가기",3,0,16/08/05,16/08/07,1,2,"혼자,휴식과 치유 여행",16/07/14,18/05/04,"n","Y",0,0,0,"y",0,6
"766","JP","州食べまくり旅行",0,0,16/08/27,16/08/29,1,2,"혼자,휴식과 치유 여행",16/07/14,18/05/15,"n","Y",0,0,0,"y",0,
"773","KR","제주의 문화와 예술 그리고 자연 속에서 즐기자",1,0,16/09/30,16/10/04,1,4,"혼자,휴식과 치유 여행",16/07/14,18/05/04,"n","Y",0,0,0,"y",0,2
"776","JP","ピクニックがしたい春の州島",0,0,17/05/01,17/05/06,1,5,"혼자,휴식과 치유 여행",16/07/14,18/05/15,"n","Y",0,0,0,"y",0,
"782","KR","풀코스로 즐기자",1,0,16/10/19,16/10/23,1,4,"혼자,휴식과 치유 여행",16/07/14,18/05/04,"n","Y",0,0,0,"y",0,2
"1211","KR","쑤니유니 제주여행",0,0,17/03/07,17/03/10,1,3,"혼자,휴식과 치유 여행",17/02/09,18/04/13,"n","N",0,0,0,"y",0,
"1301","KR","aa",0,0,17/03/15,17/03/16,1,1,"혼자,휴식과 치유 여행",17/03/14,18/04/13,"n","Y",0,0,0,"y",0,
"1374","KR","zxcz",1,0,17/06/12,17/06/15,1,3,"혼자,휴식과 치유 여행",17/04/05,22/03/07,"n","N",0,0,0,"y",0,2
"1458","KR","가족여행alt1",0,0,17/05/04,17/05/06,1,2,"혼자,휴식과 치유 여행",17/05/02,18/04/13,"n","N",0,0,0,"y",0,
"1482","KR","가족여행",0,0,17/05/13,17/05/15,1,2,"혼자,휴식과 치유 여행",17/05/12,18/04/13,"n","N",0,0,0,"y",0,
"1520","KR","사랑이의 태교여행",0,0,17/06/12,17/06/16,1,4,"혼자,휴식과 치유 여행",17/05/21,18/04/13,"n","Y",0,0,0,"y",0,
"819","KR","여행일정",0,0,16/07/19,16/07/20,1,1,"혼자,휴식과 치유 여행",16/07/20,18/04/13,"n","Y",0,0,0,"y",0,
"1210","KR","일정 짜기",0,0,17/02/19,17/02/22,1,3,"혼자,휴식과 치유 여행",17/02/08,18/04/13,"n","N",0,0,0,"y",0,
"1226","KR","가족여행",0,0,17/02/21,17/02/24,1,3,"혼자,휴식과 치유 여행",17/02/19,18/04/13,"n","N",0,0,0,"y",0,
"1281","KR","힐링투어",0,0,17/03/28,17/03/30,1,2,"혼자,휴식과 치유 여행",17/03/09,18/04/13,"n","N",0,0,0,"y",0,
"1302","KR","제주 휘리릭",0,0,17/03/17,17/03/19,1,2,"혼자,휴식과 치유 여행",17/03/14,18/04/13,"n","N",0,0,0,"y",0,
"1470","KR","자연속의 여행",0,0,17/05/20,17/05/22,1,2,"혼자,휴식과 치유 여행",17/05/08,18/04/13,"n","N",0,0,0,"y",0,
"1667","KR","첫여행_제주",0,0,17/08/06,17/08/11,1,5,"혼자,휴식과 치유 여행",17/06/27,18/04/13,"n","N",0,0,0,"y",0,
"2256","KR","1",0,0,17/10/23,17/10/26,1,3,"혼자,휴식과 치유 여행",17/10/20,18/04/13,"n","N",0,0,0,"y",0,
"1722","KR","형근이와 첫 제주도 여행 (feat.해비치)",0,0,17/09/11,17/09/14,1,3,"혼자,휴식과 치유 여행",17/07/11,18/04/13,"n","N",0,0,0,"y",0,
"1744","KR","^^",0,0,17/07/18,17/07/21,1,3,"혼자,휴식과 치유 여행",17/07/16,18/04/13,"n","N",0,0,0,"y",0,
"1781","KR","정흠밴드공연",1,0,17/07/26,17/07/29,1,3,"혼자,휴식과 치유 여행",17/07/23,18/08/13,"n","N",0,0,0,"y",0,2
"1913","KR","ㅎ하ㅏ",0,0,17/08/27,17/08/28,1,1,"혼자,휴식과 치유 여행",17/08/22,18/04/13,"n","N",0,0,0,"y",0,
"1972","KR","부부가 된 후 첫 제주 여행",1,0,17/09/08,17/09/10,1,2,"혼자,휴식과 치유 여행",17/08/30,18/08/26,"n","Y",0,0,0,"y",0,2
"2022","KR","2017년 09월 가족여행",3,0,17/09/14,17/09/18,1,4,"혼자,휴식과 치유 여행",17/09/08,19/05/31,"n","Y",0,0,0,"y",0,6
"2026","KR","토욜 제주여행",0,0,17/09/09,17/09/10,1,1,"혼자,휴식과 치유 여행",17/09/08,18/04/13,"n","N",0,0,0,"y",0,
"652","KR","즐거운 제주여행",0,0,16/07/22,16/07/27,1,5,"혼자,휴식과 치유 여행",16/07/07,18/04/13,"n","Y",0,0,0,"y",0,
"707","KR","인포 코스",0,0,16/07/29,16/08/03,1,5,"혼자,휴식과 치유 여행",16/07/12,18/04/13,"n","Y",0,0,0,"y",0,
"713","KR","카카오5박",4,0,16/07/13,16/07/18,1,5,"혼자,휴식과 치유 여행",16/07/12,21/11/09,"n","Y",0,0,0,"y",0,8
"719","CN","Step 1. 制定旅游行程及主",0,0,16/07/29,16/08/01,1,3,"혼자,휴식과 치유 여행",16/07/12,18/04/13,"n","N",0,0,0,"y",0,
"720","CN","Step 1. 制定旅游行程及主",0,0,16/07/22,16/07/23,1,1,"혼자,휴식과 치유 여행",16/07/12,18/04/13,"n","Y",0,0,0,"y",0,
"724","EN","a",0,0,16/07/21,16/07/22,1,1,"혼자,휴식과 치유 여행",16/07/12,18/04/13,"n","Y",0,0,0,"y",0,
"727","KR","3박4일의 제주 1",0,0,16/07/14,16/07/17,1,3,"혼자,휴식과 치유 여행",16/07/13,18/05/04,"n","Y",0,0,0,"y",0,
"728","CN","701&702公交游",0,0,16/07/15,16/07/16,1,1,"혼자,휴식과 치유 여행",16/07/13,18/05/24,"n","Y",0,0,0,"y",0,
"498","EN","jeju tour",0,0,16/06/30,16/07/01,1,1,"혼자,휴식과 치유 여행",16/06/21,18/04/13,"n","Y",0,0,0,"y",0,
"740","JP","友達と行く州島旅行",0,0,16/07/23,16/07/24,1,1,"혼자,휴식과 치유 여행",16/07/13,18/05/24,"n","N",0,0,0,"y",0,
"741","EN","Learning About Jeju",2,0,16/07/15,16/07/16,1,1,"혼자,휴식과 치유 여행",16/07/13,18/05/24,"n","Y",0,0,0,"y",0,4
"746","JP","州島1泊2日旅行②",2,0,16/07/30,16/07/31,1,1,"혼자,휴식과 치유 여행",16/07/13,18/05/24,"n","Y",0,0,0,"y",0,4
"747","JP","夏の州島旅行",2,0,16/08/13,16/08/14,1,1,"혼자,휴식과 치유 여행",16/07/13,18/05/24,"n","Y",0,0,0,"y",0,4
"756","CN","6月三日游",1,0,16/06/06,16/06/08,1,2,"혼자,휴식과 치유 여행",16/07/13,18/05/24,"n","Y",0,0,0,"y",0,2
"761","KR","제주를 제대로 맛보고 즐기는 일정",0,0,16/10/06,16/10/08,1,2,"혼자,휴식과 치유 여행",16/07/14,18/05/04,"n","Y",0,0,0,"y",0,
"764","JP","州島でアクティビティをしもう！",0,0,16/08/06,16/08/08,1,2,"혼자,휴식과 치유 여행",16/07/14,18/05/15,"n","Y",0,0,0,"y",0,
"775","CN","夏季旅行",0,0,16/08/01,16/08/04,1,3,"혼자,휴식과 치유 여행",16/07/14,18/05/15,"n","Y",0,0,0,"y",0,
"799","KR","제주에서 황금같은 일주일이 허락된다면!",0,0,16/10/01,16/10/08,1,7,"혼자,휴식과 치유 여행",16/07/15,18/04/13,"n","Y",0,0,0,"y",0,
"1041","KR","제주관광의 메카 서귀포 여행",8,0,16/12/01,16/12/02,1,1,"혼자,휴식과 치유 여행",16/12/25,18/05/04,"n","Y",0,0,0,"y",0,16
"1322","KR","부모님과 자녀가 함께하는 여행",0,0,17/03/21,17/03/24,1,3,"혼자,휴식과 치유 여행",17/03/20,18/04/13,"n","N",0,0,0,"y",0,
"1360","KR","가족여행",0,0,17/03/31,17/04/02,1,2,"혼자,휴식과 치유 여행",17/03/30,18/04/13,"n","N",0,0,0,"y",0,
"1382","KR","15년만에 제주",0,0,17/04/12,17/04/15,1,3,"혼자,휴식과 치유 여행",17/04/10,18/04/13,"n","N",0,0,0,"y",0,
"1410","KR","제주성산",0,0,17/06/03,17/06/06,1,3,"혼자,휴식과 치유 여행",17/04/19,18/04/13,"n","N",0,0,0,"y",0,
"1445","KR","제주도여행",0,0,17/05/05,17/05/07,1,2,"혼자,휴식과 치유 여행",17/05/01,18/04/13,"n","Y",0,0,0,"y",0,
"1467","KR","첫 가족 여행",0,0,17/05/11,17/05/14,1,3,"혼자,휴식과 치유 여행",17/05/06,18/04/13,"n","N",0,0,0,"y",0,
"1233","KR","가족여행",0,0,17/02/26,17/02/28,1,2,"혼자,휴식과 치유 여행",17/02/25,18/04/13,"n","Y",0,0,0,"y",0,
"1299","KR","경민이 은주 여행",0,0,17/03/24,17/03/26,1,2,"혼자,휴식과 치유 여행",17/03/14,18/04/13,"n","N",0,0,0,"y",0,
"1380","KR","ㄱㄱ",0,0,17/04/12,17/04/15,1,3,"혼자,휴식과 치유 여행",17/04/09,18/04/13,"n","N",0,0,0,"y",0,
"1411","KR","샘플",0,0,17/04/20,17/04/22,1,2,"혼자,휴식과 치유 여행",17/04/19,18/04/13,"n","N",0,0,0,"y",0,
"1440","KR","가족여행일정",0,0,17/05/15,17/05/18,1,3,"혼자,휴식과 치유 여행",17/04/28,18/04/13,"n","N",0,0,0,"y",0,
"1456","KR","가족여행",1,0,17/05/07,17/05/09,1,2,"혼자,휴식과 치유 여행",17/05/02,19/06/09,"n","N",0,0,0,"n",0,2
"1624","KR","첫 비행 여행",0,0,17/06/14,17/06/17,1,3,"혼자,휴식과 치유 여행",17/06/14,18/04/13,"n","N",0,0,0,"y",0,
"1676","KR","제주. 여름. 바다. 느림. 힐링. 초록.",0,0,17/07/04,17/07/07,1,3,"혼자,휴식과 치유 여행",17/06/30,18/04/13,"n","N",0,0,0,"y",0,
"1684","KR","친구랑",0,0,17/07/16,17/07/18,1,2,"혼자,휴식과 치유 여행",17/07/03,18/04/13,"n","N",0,0,0,"y",0,
"1562","KR","가볼까",0,0,17/06/09,17/06/11,1,2,"혼자,휴식과 치유 여행",17/05/30,18/04/13,"n","N",0,0,0,"y",0,
"1566","KR","아빠 칠순 기념 가족여행",0,0,17/06/02,17/06/04,1,2,"혼자,휴식과 치유 여행",17/05/31,18/04/13,"n","N",0,0,0,"y",0,
"1629","KR","제주 3박4일",0,0,17/06/16,17/06/19,1,3,"혼자,휴식과 치유 여행",17/06/15,18/04/13,"n","N",0,0,0,"y",0,
"1636","KR","제주야  기다려라",0,0,17/07/13,17/07/15,1,2,"혼자,휴식과 치유 여행",17/06/17,18/04/13,"n","N",0,0,0,"y",0,
"1642","KR","제주도 2박 3일",0,0,17/06/28,17/06/30,1,2,"혼자,휴식과 치유 여행",17/06/20,18/04/13,"n","N",0,0,0,"y",0,
"1655","KR","제주도 첫날",0,0,17/07/01,17/07/02,1,1,"혼자,휴식과 치유 여행",17/06/22,18/04/13,"n","N",0,0,0,"y",0,
"1664","KR","형근이와 첫 제주도 여행",0,0,17/09/11,17/09/14,1,3,"혼자,휴식과 치유 여행",17/06/27,18/04/13,"n","N",0,0,0,"y",0,
