콘텐츠명,평일오픈시간,평일클로즈시간,주말오픈시간,주말클로즈시간,휴식시작시간,휴식종료시간,난이도,장애인주차구역,장애인엘레베이터,장애인화장실,장애인화장실유효공간,장애인관람석및열람석,영유아돌봄시설,안내소접근가능여부,기타시설
농업회사법인(주)태반의땅제주,9:00,18:00,9:00,18:00,,,,,,,,,,,
애월한담해안산책로,,,,,,,,,,,,,,,
dfdsfs,0:00,0:00,1:30,0:00,1:30,0:00,,,,,,,,,
해품은체험농장,9:00,19:00,9:00,19:00,,,,,,,,,,,
조천함덕해안도로,,,,,,,,,,,,,,,
골프탕탕,9:00,22:00,9:00,22:00,,,,,,,,,,,
가파도 마라도 정기여객선,9:00,18:00,9:00,18:00,,,,,,,,,,,
dfdsfs,0:00,0:00,1:30,0:00,1:30,0:00,,,,,,,,,
조천비석거리,,,,,,,,,,,,,,,
제주플래티늄카라반,,,,,,,,,,,,,,,
우도 비양도,,,,,,,,,,,,,,,
두멩이골목,,,,,,,,,,,,,,,
용두암해안도로카페거리,,,,,,,,,,,,,,,
금능석물원,8:30,17:00,8:30,17:00,,,,,,,,,,,
비양도의 비양나무자생지,,,,,,,,,,,,,,,
제주옹기굴제,,,,,,,,,,,,,,,
3453,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
tttttttttttttttttttttttttttttttt,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
시크릿가든촬영지,,,,,,,,,,,,,,,
서귀포유람선,11:30,15:20,11:30,15:20,,,,,,,,,,,
자구내포구,,,,,,,,,,,,,,,
거문오름(UNESCO 세계자연유산),9:00,13:00,9:00,13:00,,,,,,,,,,,
걸매축구장,,,,,,,,,,,,,,,
산방산 수국,,,,,,,,,,,,,,,
dfdsfs,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
제주올레 16코스,,,,,,,,,,,,,,,
성굽길,,,,,,,,,,,,,,,
함덕야영장,,,,,,,,,,,,,,,
건강과성박물관,9:00,20:00,9:00,20:00,,,1,y,y,y,y,n,n,y,"휠체어(2대)및 유모차(3대)무료대여 물품보관함 무료(20개,캐리어 사무실 보관가능)/"
제주센트럴파크,9:00,18:00,9:00,18:00,,,1,y,n,n,n,n,n,y,"휠체어, 유모차"
김녕금속공예벽화마을,,,,,,,,,,,,,,,
방주교회,9:00,17:00,9:00,17:00,,,,,,,,,,,
김경숙해바라기농장,9:00,19:00,9:00,19:00,,,,,,,,,,,
온평리 환해장성,,,,,,,,,,,,,,,
용수항,,,,,,,,,,,,,,,
서부두명품횟집거리(삭제콘텐츠),,,,,,,,,,,,,,,
올레여행자센터,8:00,22:00,8:00,22:00,,,,,,,,,,,
코코몽 에코파크,,,,,,,,,,,,,,,
상효원,9:00,19:00,9:00,19:00,,,2,y,n,y,y,n,n,y,"휠체어, 유모차"
하모씨워킹,,,,,,,,,,,,,,,
제주올레 17코스,,,,,,,,,,,,,,,
동복환해장성,,,,,,,,,,,,,,,
아라리오뮤지엄탑동시네마,10:00,19:00,10:00,19:00,,,1,n,y,y,y,,n,y,
장전리 벚꽃축제길,,,,,,,,,,,,,,,
성읍마을,0:00,0:00,0:00,0:00,,,1,y,,y,y,,n,,-
사려니숲길,,,,,,,,,,,,,,,
산방산 랜드,9:00,18:00,9:00,18:00,,,,,,,,,,,
협재해수욕장,,,,,,,,,,,,,,,
남원종합경기장,6:00,22:00,6:00,22:00,,,,,,,,,,,
아쿠아플라넷 제주,9:30,19:00,9:30,19:00,,,1,y,y,y,y,y,y,y,"휠체어, 유모차 등"
사라오름,,,,,,,,,,,,,,,
삼의양오름,,,,,,,,,,,,,,,
새섬,,,,,,,,,,,,,,,
새연교,,,,,,,,,,,,,,,
탑동해변공연장,,,,,,,,,,,,,,,
제주하늘을날다(패러글라이딩),10:00,18:00,10:00,18:00,,,,,,,,,,,
오설록티뮤지엄,9:00,18:00,9:00,18:00,,,2,y,y,y,n,,n,y,"■ 휠체어, ■ 유모차 "
서귀포 궁도장(천지정),6:00,22:00,6:00,22:00,,,,,,,,,,,
제주항공우주박물관,9:00,18:00,9:00,18:00,,,,y,y,y,y,y,y,y,■휠체어 ■ 유모차
제주향교,,,,,,,,,,,,,,,
세화해변,,,,,,,,,,,,,,,
큰사슴이오름,,,,,,,,,,,,,,,
모슬포항,,,,,,,,,,,,,,,
송계순집터,,,,,,,,,,,,,,,
이상한 나라의 앨리스,9:00,17:00,9:00,17:00,,,,,,,,,,,
김녕해수욕장야영장,,,,,,,,,,,,,,,
이호테우말등대,,,,,,,,,,,,,,,
체오름,,,,,,,,,,,,,,,
비양봉,,,,,,,,,,,,,,,
에버리스 골프리조트,6:00,20:30,6:00,20:30,,,,,,,,,,,
거친오름,9:00,18:00,9:00,18:00,,,,,,,,,,,
본지오름,,,,,,,,,,,,,,,
거린오름 (북오름),,,,,,,,,,,,,,,
"무악(개오름,오름,무오름)",,,,,,,,,,,,,,,
"자배봉(자배오름,망오름)",,,,,,,,,,,,,,,
월정리 카약체험장,,,,,,,,,,,,,,,
"당산봉(당오름,차귀오름)",,,,,,,,,,,,,,,
발이오름,,,,,,,,,,,,,,,
환상숲 곶자왈공원,9:00,18:00,,,,,,,,,,,,,
아끈다랑쉬,,,,,,,,,,,,,,,
"돈두미오름(돈도름,돈대미)",,,,,,,,,,,,,,,
마린파크,9:30,18:30,9:30,18:30,,,1,y,y,y,y,n,y,y,-
도리미오름,,,,,,,,,,,,,,,
상추자포구,,,,,,,,,,,,,,,
신대산전망대,,,,,,,,,,,,,,,
동굴의 다원 다희연,9:00,18:00,9:00,18:00,,,,,,,,,,,
들리오름 (들위오름),,,,,,,,,,,,,,,
검은오름,,,,,,,,,,,,,,,
제주세계자연유산센터,9:00,18:00,9:00,18:00,,,1,y,y,y,y,n,y,y,"휠체어, 유모차"
맬튼개 갯담,,,,,,,,,,,,,,,
서커스월드공연장,10:30,16:30,10:30,16:30,,,1,y,n,y,y,y,n,y,"휠체어, 유모차"
도두봉,,,,,,,,,,,,,,,
하귀해안도로,,,,,,,,,,,,,,,
제주바다체험장,10:00,17:00,10:00,17:00,,,,,,,,,,,
제주별빛누리공원[제한적운영중],,,,,,,,y,y,y,y,n,y,y,"휠체어, 유모차 등"
하고수동해변,,,,,,,,,,,,,,,
붉은오름(성산읍),,,,,,,,,,,,,,,
dfdsfs,0:00,0:00,1:30,0:00,1:30,0:00,,,,,,,,,
dfdsfs,0:00,0:00,1:30,0:00,1:30,0:00,,,,,,,,,
중문미로파크,9:00,18:00,9:00,18:00,,,,,,,,,,,
소암현중화기념관,9:00,17:30,9:00,17:30,,,1,y,y,y,y,,n,y,"휠체어, 유모차 등"
우도해운 / 우도 가는 배,,,,,,,,,,,,,,,
라온승마클럽,9:00,17:00,9:00,17:00,,,,,,,,,,,
이니스프리제주하우스,9:00,18:00,9:00,18:00,,,,,,,,,,,
파파월드,10:00,18:00,10:00,18:00,,,,,,,,,,,
마라도(마라해양도립공원),,,,,,,,,,,,,,,
퍼시픽 리솜 요트투어 샹그릴라,9:40,17:00,9:40,17:00,,,2,,,,,,,,
빈네오름,,,,,,,,,,,,,,,
제주힐링명상센터,9:00,18:00,9:00,18:00,,,,,,,,,,,
렛츠런팜제주,9:00,18:00,9:00,18:00,,,,,,,,,,,
삼바 두 브라질,,,,,,,,,,,,,,,
제주랜드ATV,9:00,17:00,9:00,17:00,,,,,,,,,,,
아날로그감귤밭,10:00,18:00,10:00,18:00,,,,,,,,,,,
산굼부리,9:00,18:00,9:00,18:00,,,3,y,n,y,y,n,n,y,휠체어
용머리해안,9:00,17:00,9:00,17:00,,,,y,n,y,y,n,n,y,
제주김녕미로공원,,,,,,,1,y,,y,y,,n,y,"휠체어, 유모차,"
걸시오름,,,,,,,,,,,,,,,
사계해변,,,,,,,,,,,,,,,
세계조가비박물관,9:00,18:00,9:00,18:00,,,1,n,n,n,n,,n,y,
올레캠프 본점 알파캠프,0:00,0:00,0:00,0:00,,,2,,,,,,,,
상여오름,,,,,,,,,,,,,,,
평대해변,,,,,,,,,,,,,,,
쇠소깍해변,,,,,,,,,,,,,,,
한림공원,,,,,,,1,y,,y,y,,n,y,"■ 휠체어, ■유모차"
스프링데일CC,6:30,14:30,6:30,14:30,,,,,,,,,,,
신비의도로,0:00,0:00,0:00,0:00,,,,y,,y,y,,n,,-
제주올레 4코스,,,,,,,,,,,,,,,
우도박물관,,,,,,,,,,,,,,,
노을승마장,,,,,,,,,,,,,,,
토산봉(망오름),,,,,,,,,,,,,,,
수목원테마파크,8:30,21:00,8:30,21:00,,,,y,y,y,y,,n,y,"휠체어, 유모차"
바람모루,,,,,,,,,,,,,,,
서귀포해안,,,,,,,,,,,,,,,
설오름(서리오름),,,,,,,,,,,,,,,
하도해변,,,,,,,,,,,,,,,
제주올레 1-1코스,,,,,,,,,,,,,,,
성진이오름(개오름),,,,,,,,,,,,,,,
섶섬(서귀포해양도립공원),,,,,,,,,,,,,,,
세계자동차 & 피아노박물관,9:00,18:00,9:00,18:00,,,1,y,y,y,y,y,n,y,"휠체어, 유모차 등"
2342342,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
한라생태숲,9:00,18:00,9:00,18:00,,,2,y,y,y,y,n,y,y,"휠체어, 유모차 등"
휴애리 자연생활공원,9:00,18:00,9:00,18:00,,,1,y,,y,y,,y,y,"휠체어, 유모차, "
더데오름(가가악),,,,,,,,,,,,,,,
대정해변(하모해변),,,,,,,,,,,,,,,
돔베낭골,,,,,,,,,,,,,,,
톨칸이,,,,,,,,,,,,,,,
제주절물자연휴양림,,,,,,,3,y,,y,y,,y,y,"휠체어, 유모차, "
라온골프클럽,8:30,17:30,8:30,17:30,,,,,,,,,,,
만장굴,9:00,18:00,9:00,18:00,,,,,,,,,,,
산천단,8:30,18:00,8:30,18:00,,,,,,,,,,,
형제해안로전망대,,,,,,,,,,,,,,,
형제섬,,,,,,,,,,,,,,,
돈내코,,,,,,,,,,,,,,,
234,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
234,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
234,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
234,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
234,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
234,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
234,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
세미오름(삼의양오름),,,,,,,,,,,,,,,
지미봉,,,,,,,,,,,,,,,
두산봉(말미오름),,,,,,,,,,,,,,,
신흥2리 동백마을,9:00,17:00,,,,,,,,,,,,,
단산과 방사탑,,,,,,,,,,,,,,,
오백나한,,,,,,,,,,,,,,,
주식회사 비스듬히,11:00,17:00,11:00,17:00,,,1,,,,,,,,
세미소(세미소오름),,,,,,,,,,,,,,,
"생기악 (생기오름, 생길이오름)",,,,,,,,,,,,,,,
마라도성당,,,,,,,,,,,,,,,
제주라프 짚라인,9:00,18:00,9:00,18:00,,,,,,,,,,,
초콜릿박물관,10:30,17:00,10:30,17:00,,,,y,n,y,y,,n,y,"휠체어, 유모차"
제주조천스위스마을,,,,,,,,,,,,,,,
화북비석거리,,,,,,,,,,,,,,,
고산일과해안도로,,,,,,,,,,,,,,,
민오름(봉개동),,,,,,,,,,,,,,,
추사 유배길 - 1코스 집념의 길,,,,,,,,,,,,,,,
연북정,,,,,,,,,,,,,,,
저지 예술인 마을,,,,,,,,,,,,,,,
이승이오름(이승악),,,,,,,,,,,,,,,
한국병원,9:00,17:00,,,,,,,,,,,,,
이랜드뮤지엄,9:00,18:00,9:00,18:00,,,,,,,,,,,
납읍난대림 금산공원,,,,,,,,,,,,,,,
대록산(큰사슴이),,,,,,,,,,,,,,,
마라도기원정사,,,,,,,,,,,,,,,
섯알오름,,,,,,,,,,,,,,,
사려니오름,,,,,,,,,,,,,,,
동계 정온 유허비,,,,,,,,,,,,,,,
모지오름,,,,,,,,,,,,,,,
삼의봉,,,,,,,,,,,,,,,
냇길이소,,,,,,,,,,,,,,,
황금굴(한림공원),,,,,,,,,,,,,,,
영천악(영천오름),,,,,,,,,,,,,,,
정물오름,,,,,,,,,,,,,,,
당오름,,,,,,,,,,,,,,,
"대수산봉(큰물뫼,물미오름)",,,,,,,,,,,,,,,
원수악,,,,,,,,,,,,,,,
세화해안도로,,,,,,,,,,,,,,,
용연,,,,,,,,,,,,,,,
밧세미 (밭생이),,,,,,,,,,,,,,,
석부작박물관,8:30,17:30,8:30,17:30,,,,,,,,,,,
안덕계곡,,,,,,,,,,,,,,,
천주교길 정난주길(고통의길),,,,,,,,,,,,,,,
신양연안바다목장,,,,,,,,,,,,,,,
함덕해수욕장,,,,,,,,,,,,,,,
돔배오름,,,,,,,,,,,,,,,
그리스신화박물관 / 트릭아이미술관,9:00,18:00,9:00,18:00,,,1,y,,y,y,,n,y,"휠체어, 유모차, "
화순금모래해수욕장,,,,,,,,,,,,,,,
쇠머리오름(우도봉),,,,,,,,,,,,,,,
정의현 일관헌,,,,,,,,,,,,,,,
광치기해변,,,,,,,,,,,,,,,
허브동산 미디어 파사드 (media facade),9:00,22:00,,,,,,,,,,,,,
렛츠런팜 양귀비꽃,,,,,,,,,,,,,,,
알뜨르비행장,,,,,,,,,,,,,,,
감귤박물관,9:00,18:00,9:00,18:00,,,1,y,y,y,y,,y,y,"휠체어, 유모차, "
한라산어리목코스,,,,,,,,,,,,,,,
노리매공원,9:00,18:00,9:00,18:00,,,1,y,y,y,n,y,y,y,"■ 휠체어, ■ 유모차 "
애월 한담 카약,,,,,,,,,,,,,,,
제주성지,,,,,,,,,,,,,,,
제주평화박물관(전쟁평화박물관)[휴관중],8:30,17:00,8:30,17:00,,,2,n,,y,y,,n,y,
어승생승마장 Horseland Jeju,9:00,18:00,9:00,18:00,,,,,,,,,,,
해맞이해안로,,,,,,,,,,,,,,,
천지연기정길,,,,,,,,,,,,,,,
벨리타,14:00,11:00,14:00,11:00,,,,,,,,,,,
민속자연사박물관,9:00,18:00,9:00,18:00,,,2,y,y,y,y,y,y,y,"휠체어, 유모차"
세화항,,,,,,,,,,,,,,,
야몬딱털장,,,,,,,,,,,,,,,
누웨마루거리(구 바오젠),,,,,,,,,,,,,,,
거슨새미오름,,,,,,,,,,,,,,,
알진오름(안친오름),,,,,,,,,,,,,,,
문석이오름,,,,,,,,,,,,,,,
제주신영영화박물관 무비스타,10:00,18:00,10:00,18:00,,,,,,,,,,,
제주쥬티클럽,10:00,17:00,10:00,17:00,,,,,,,,,,,
두맹이골목,,,,,,,,,,,,,,,
이중섭미술관,9:30,17:30,,,,,,y,y,y,y,n,n,y,"휠체어, 유모차 등"
돌하르방 캠핑장,14:00,12:00,,,,,,,,,,,,,
산지등대,,,,,,,,,,,,,,,
사라봉공원,,,,,,,,,,,,,,,
새별오름,,,,,,,,,,,,,,,
알오름(성산읍),,,,,,,,,,,,,,,
상추자마을길,,,,,,,,,,,,,,,
말이달리는밤에,,,,,,,,,,,,,,,
아라고나이트 온천(디아넥스호텔),9:00,21:00,9:00,21:00,,,,,,,,,,,
머체오름 (마체오름),,,,,,,,,,,,,,,
한림해안도로,,,,,,,,,,,,,,,
제주 카카오캠핑,9:00,18:00,9:00,18:00,,,,,,,,,,,
비체올린,8:40,18:00,8:40,18:00,,,,,,,,,,,
토이파크,9:00,20:00,9:00,20:00,,,2,y,n,n,n,n,n,y,-
백조일손지묘(백조일손지지),,,,,,,,,,,,,,,
점보빌리지,10:00,17:30,10:00,17:30,,,1,y,n,y,n,y,n,y,-
제주유리박물관,10:00,21:00,10:00,21:00,,,2,y,n,n,n,n,n,y,"휠체어, 유모차"
청아투명카약,9:30,18:30,9:30,18:30,,,1,,,,,,,,
로즈오닐과 앤티크큐피 전시관,9:00,18:00,,,,,,,,,,,,,
제주레일바이크,9:00,17:30,9:00,17:30,,,3,y,n,n,n,n,n,y,-
에코랜드 테마파크,,,,,,,3,y,n,y,y,n,n,y,"휠체어, 유모차"
애월해안도로,,,,,,,,,,,,,,,
신도포구,,,,,,,,,,,,,,,
무수천,,,,,,,,,,,,,,,
웰컴테마파크,6:00,22:00,7:00,23:00,0:00,0:00,2,,,,,,,,
sdsdasd,0:00,0:00,0:00,0:00,,,,,,,,,,,
상호명 입니다.,0:00,0:00,0:00,0:00,,,,,,,,,,,
상호명 입니다2,0:00,0:00,0:00,0:00,,,,,,,,,,,
수월봉 지질트레일,,,,,,,,,,,,,,,
베릿네오름,,,,,,,,,,,,,,,
차귀도요트,9:00,18:30,9:00,18:30,,,,,,,,,,,
항파두리항몽유적지,9:00,18:00,9:00,18:00,,,1,y,,y,y,,n,y,"휠체어, 유모차, "
혼인지,8:00,17:00,8:00,17:00,,,3,n,,y,y,,n,n,
미천굴,8:30,18:00,8:30,18:00,,,,,,,,,,,
돈대산산림휴양산책로,,,,,,,,,,,,,,,
협재굴(한림공원),,,,,,,,,,,,,,,
성산포항,,,,,,,,,,,,,,,
바이나흐튼 크리스마스 박물관,10:30,18:00,10:30,18:00,,,,,,,,,,,
원당봉,,,,,,,,,,,,,,,
방일리공원,,,,,,,,,,,,,,,
세리월드 테마파크,9:00,18:00,9:00,18:00,,,1,y,n,y,y,n,n,y,"휠체어, 유모차"
"보롬이(하논, 화구구)",,,,,,,,,,,,,,,
월령포구,,,,,,,,,,,,,,,
탐나라공화국(제주남이섬),10:00,18:00,10:00,18:00,,,,,,,,,,,
돔박이오름 (동박악),,,,,,,,,,,,,,,
장미빛축제,17:00,23:00,,,,,,,,,,,,,
엉덩물계곡,,,,,,,,,,,,,,,
제주다원 녹차미로공원,9:00,18:00,9:00,18:00,,,,,,,,,,,
말찻,,,,,,,,,,,,,,,
까망고띠,9:00,20:00,9:00,20:00,,,,,,,,,,,
이스렁오름,,,,,,,,,,,,,,,
제주불교성지 순례길 절로 가는길 - 보시의 길,,,,,,,,,,,,,,,
제주문예회관,,,,,,,,,,,,,,,
제주올레 2코스,,,,,,,,,,,,,,,
방일봉 (방일이동산),,,,,,,,,,,,,,,
성읍랜드,,,,,,,,,,,,,,,
각시바우오름,,,,,,,,,,,,,,,
33333,0:00,0:00,0:00,0:00,,,,,,,,,,,
월나봉(도래오름),,,,,,,,,,,,,,,
아라리오뮤지엄동문모텔2,10:00,19:00,10:00,19:00,,,,,,,,,,,
가문이오름(감은이오름),,,,,,,,,,,,,,,
현사포구,,,,,,,,,,,,,,,
부대악오름,,,,,,,,,,,,,,,
제주불교성지 순례길 절로 가는길 - 지계의 길,,,,,,,,,,,,,,,
번널오름 (벌판악),,,,,,,,,,,,,,,
들렁모루 산책길,,,,,,,,,,,,,,,
가세오름,,,,,,,,,,,,,,,
북돌아진오름,,,,,,,,,,,,,,,
곽지해수욕장,,,,,,,,,,,,,,,
갑선이오름,,,,,,,,,,,,,,,
닭머르해안길,,,,,,,,,,,n,,,,
"봉아오름(봉개오름,봉아름,붉은오름)",,,,,,,,,,,,,,,
기독교순례길 2코스(순교의길),,,,,,,,,,,,,,,
가메오름,,,,,,,,,,,,,,,
렛츠런파크,9:30,18:00,9:30,18:00,,,1,y,y,y,y,y,y,y,"■ 휠체어 ■유모차, ■ 전동휠체어 배터리 충전기 "
귤밭76번지,10:00,16:00,10:00,16:00,,,,,,,,,,,
별도봉,,,,,,,,,,,,,,,
신창~차귀해안도로,,,,,,,,,,,,,,,
관덕정,9:00,18:00,9:00,18:00,,,,,,,,,,,
제주허브동산,9:00,22:00,9:00,22:00,,,2,y,,y,y,,y,y,"휠체어, 유모차, "
소인국테마파크,9:00,18:00,9:00,18:00,,,1,y,n,y,y,n,n,y,"휠체어, 유모차."
국립제주박물관,10:00,18:00,10:00,18:00,,,1,y,y,y,y,y,y,y,"휠체어, 유모차 "
한남의숙터,,,,,,,,,,,,,,,
서복전시관,9:00,18:00,9:00,18:00,,,1,y,n,y,y,n,n,n,"퓔체어, 유모차"
중문진실캠핑장,15:00,12:00,15:00,12:00,,,,,,,,,,,
절물오름(큰대나),,,,,,,,,,,,,,,
낙선동 4.3성,,,,,,,,,,,,,,,
서우봉,,,,,,,,,,,,,,,
삼화포구,,,,,,,,,,,,,,,
금능해수욕장,,,,,,,,,,,,,,,
dfds,0:00,0:00,0:00,0:00,,,,,,,,,,,
명월팽나무군락,,,,,,,,,,,,,,,
여문영아리,,,,,,,,,,,,,,,
개오리오름,,,,,,,,,,,,,,,
예래해안도로,,,,,,,,,,,,,,,
아부오름,,,,,,,,,,,,,,,
제주불교성지 순례길 절로 가는길 - 정진의 길,,,,,,,,,,,,,,,
민오름(오라동),,,,,,,,,,,,,,,
개오름,,,,,,,,,,,,,,,
제주불교성지 순례길 절로 가는길 - 인욕의 길,,,,,,,,,,,,,,,
이달봉,,,,,,,,,,,,,,,
이호테우해수욕장_old,,,,,,,,,,,,,,,
제주공룡랜드,,,,,,,2,y,,y,y,,y,n,"휠체어, 유모차, "
월령선인장군락지,,,,,,,,,,,,,,,
월정리해변,,,,,,,,,,,,,,,
하멜기념비,,,,,,,,,,,,,,,
한림항,,,,,,,,,,,,,,,
서귀포천문과학문화관,14:00,22:00,14:00,22:00,,,,y,y,y,y,y,n,y,"휠체어, 유모차"
선족이오름(알선족이),,,,,,,,,,,,,,,
곶자왈,,,,,,,,,,,,,,,
선녀와나무꾼,9:00,18:00,9:00,18:00,,,1,y,n,y,y,n,n,y,"휠체어, 유모차"
하도리 철새도래지,,,,,,,,,,,,,,,
dfds,0:00,0:00,0:00,0:00,,,,,,,,,,,
한라산국립공원,,,,,,,,,,,,,,,
강정천유원지,,,,,,,,,,,,,,,
제주올레 15-B코스,,,,,,,,,,,,,,,
한라감귤체험농원(체험운영안함),9:00,16:00,9:00,16:00,,,,,,,,,,,
관음사,,,,,,,,,,,,,,,
도순다원,,,,,,,,,,,,,,,
구좌해안로,,,,,,,,,,,,,,,
백록담,,,,,,,,,,,,,,,
서귀포항,,,,,,,,,,,,,,,
한라산단풍트래킹,,,,,,,,,,,,,,,
돌빛나예술학교,9:00,18:00,9:00,18:00,,,,,,,,,,,
234242424,0:00,0:00,0:00,0:00,,,,,,,,,,,
234242424,0:00,0:00,0:00,0:00,,,,,,,,,,,
돈대산,,,,,,,,,,,,,,,
종달리해안도로,,,,,,,,,,,,,,,
도두해안도로,,,,,,,,,,,,,,,
제주커피박물관 바움 Baum,9:15,18:15,9:15,18:15,,,,,,,,,,,
아이리스촬영지(하얀등대),,,,,,,,,,,,,,,
지니어스 로사이,9:00,18:00,9:00,18:00,,,,,,,,,,,
제주올레 18-1코스,,,,,,,,,,,,,,,
주상절리대(중문대포해안),,,,,,,2,y,n,y,y,n,n,y,"휠체어, 유모차"
폴리파크카라반,,,,,,,,,,,,,,,
원앙카라반캠핑장앤야영장,,,,,,,,,,,,,,,
상추자항,,,,,,,,,,,,,,,
모진이몽돌해변,,,,,,,,,,,,,,,
묵리해안포구,,,,,,,,,,,,,,,
성산일출봉(UNESCO 세계자연유산),7:00,19:00,7:00,19:00,,,3,y,,y,y,,y,y,휠체어
묵리마을,,,,,,,,,,,,,,,
추자도등대,,,,,,,,,,,,,,,
올레크루즈,10:00,17:30,10:00,17:30,,,,,,,,,,,
추자등대,,,,,,,,,,,,,,,
예초리기정길,,,,,,,,,,,,,,,
섬생이,,,,,,,,,,,,,,,
서광승마장,9:30,17:30,9:30,17:30,,,,,,,,,,,
234234,0:00,0:00,0:00,0:00,,,,,,,,,,,
2342,0:00,0:00,0:00,0:00,,,,,,,,,,,
봉글레산,,,,,,,,,,,,,,,
나바론절벽,,,,,,,,,,,,,,,
약천사 템플스테이,,,,,,,,,,,,,,,
해거름전망대,,,,,,,,,,,,,,,
남원 수국길,,,,,,,,,,,,,,,
생이기정,,,,,,,,,,,,,,,
윗세오름(웃세오름),,,,,,,,,,,,,,,
원앙폭포,,,,,,,,,,,,,,,
소천지,,,,,,,,,,,,,,,
세계술박물관,9:00,18:00,9:00,18:00,,,1,y,,y,y,,n,y,"휠체어, 유모차, "
곽지패총,,,,,,,,,,,,,,,
한모살 (표선백사장),,,,,,,,,,,,,,,
광령귤나무,,,,,,,,,,,,,,,
창고천생태공원,,,,,,,,,,,,,,,
화순곶자왈생태탐방숲길,,,,,,,1,y,y,y,y,,n,y,휠체어
돈내코유원지,,,,,,,,,,,,,,,
무릉도원마을,9:00,18:00,,,,,,,,,,,,,
종달리해변,,,,,,,,,,,,,,,
대한민국최남단기념비/ 마라도 기념비,,,,,,,,,,,,,,,
제주올레 14-1코스,,,,,,,,,,,,,,,
제주올레 14코스,,,,,,,,,,,,,,,
섬속의섬우도렌트,,,,,,,,,,,,,,,
귤빛캠핑장,,,,,,,,,,,,,,,
열리해안길,,,,,,,,,,,,,,,
동산농원 딸기체험장,9:00,18:00,9:00,18:00,,,,,,,,,,,
승마마을 청수리 농어촌체험마을,,,,,,,,,,,,,,,
가파도,,,,,,,,,,,,,,,
조수리 농어촌체험마을,,,,,,,,,,,,,,,
추사적거지,9:00,18:00,9:00,18:00,,,,,,,,,,,
제주대학교 가는길,,,,,,,,,,,,,,,
2334,0:00,0:00,0:00,0:00,,,,,,,,,,,
산지항 옛터,,,,,,,,,,,,,,,
자리왓,,,,,,,,,,,,,,,
산지천,,,,,,,,,,,,,,,
구엄리돌염전,,,,,,,,,,,,,,,
마라도관광쉼터,,,,,,,,,,,,,,,
우도천진항,,,,,,,,,,,,,,,
제주올레 3코스,,,,,,,,,,,,,,,
234,0:00,0:00,0:00,0:00,,,,,,,,,,,
제주도립김창열미술관,9:00,18:00,9:00,18:00,,,2,y,n,y,y,,n,y,■휠체어 ■유모차
성김대건신부표착기념관,9:00,18:00,9:00,18:00,,,,,,,,,,,
제주올레 10코스,,,,,,,,,,,,,,,
다랑쉬굴,,,,,,,,,,,,,,,
월라봉(효돈),,,,,,,,,,,,,,,
234242424,0:00,0:00,0:00,0:00,,,,,,,,,,,
234242424,0:00,0:00,0:00,0:00,,,,,,,,,,,
피규어뮤지엄 제주,9:00,18:00,9:00,18:00,,,,,,,,,,,
포레스트 판타지아,9:00,23:00,,,,,,,,,,,,,
제주올레 5코스,,,,,,,,,,,,,,,
서광리 곶자왈생태탐방로,,,,,,,,,,,,,,,
금붕사,,,,,,,,,,,,,,,
신산신양해안도로 (해산물),,,,,,,,,,,,,,,
제주올레 13코스,,,,,,,,,,,,,,,
천왕사,,,,,,,,,,,,,,,
ㅈㄱㅈㄱ,0:00,0:00,0:00,0:00,,,,,,,,,,,
324234,0:00,0:00,0:00,0:00,,,,,,,,,,,
신화테마파크,10:00,20:00,10:00,20:00,,,2,y,,y,y,,,y,"다양한 놀이기구, 어트랙션, VR체험, 레스토랑, 스낵바, 기념품점 등"
제주올레 8코스,,,,,,,,,,,,,,,
234242424,0:00,0:00,0:00,0:00,,,,,,,,,,,
천제연폭포,9:00,18:00,9:00,18:00,,,,,,,,,,,
다끄네포구(용담포구),,,,,,,,,,,,,,,
곽지해수욕장야영장,,,,,,,,,,,,,,,
우도봉 풍경,,,,,,,,,,,,,,,
뒤굽은이오름,,,,,,,,,,,,,,,
갑자기 히어로즈 벽화길,,,,,,,,,,,,,,,
오림반,,,,,,,,,,,,,,,
대평포구,,,,,,,,,,,,,,,
2342342,0:00,0:00,0:00,0:00,,,,,,,,,,,
자구리공원,,,,,,,,,,,,,,,
참살이마을 명도암 농어촌체험마을,,,,,,,,,,,,,,,
플레이케이팝,9:00,19:00,9:00,19:00,,,,y,y,y,n,,y,y,"휠체어, 유모차"
제주국제공항(정뜨르비행장),,,,,,,,,,,,,,,
제주스쿠터여행,8:00,19:00,8:00,19:00,,,,,,,,,,,
백제사 템플스테이,,,,,,,,,,,,,,,
현의합장묘역,,,,,,,,,,,,,,,
성산초등학교 서청특별중대 주둔지,,,,,,,,,,,,,,,
