,AREA_NM,주소,태그,주요목적,주요목적기타,co2,lg_cat,md_cat
569,레더한,제주특별자치도 서귀포시 남원읍 태위로 773-19,"#커플 #비.눈 #체험관광
#원데이클래스 #어트랙션",,,16.11434309656213,레저/체험,
570,롯데호텔 브이스파,"제주특별자치도 서귀포시 중문관광로72번길 35, lobby floor 8F","#겨울 #스파 #체험
#호텔 #어트랙션",,,28.627041274004547,레저/체험,헬스케어
572,마오름(한경),제주특별자치도 제주시 한경면 저지리 산 56,"#오름 #걷기/등산 #자연경관
#도보여행 #도보",,,4.831688882772544,자연,산
573,마흐니 숲길,제주특별자치도 서귀포시 남원읍 남조로 973,"#맑음 #커플 #친구
#부모 #휴식/힐링 #휴식/치유 #자연경관 #체험 #도보여행 #도보 #숲 #숲길 #언택트",,,3.4111262929909456,자연,
574,만벵듸 공동장지,제주특별자치도 제주시 한림읍 갯거리오름길 114,"#문화유적지 #자연경관 #문화관광
#역사유적 #어트랙션",,,5.907151951990954,테마파크/테마관광지,유적지
576,망장포,제주특별자치도 서귀포시 남원읍 하례망장포로 65-13,"#커플 #혼자 #친구
#포구 #낚시 #자연경관","포토스팟,체험","씨워킹, 스킨스쿠버, 바릇잡이",3.4111262929909456,자연,
579,모라이,제주 서귀포시 색달동,#오름 #걷기/등산 #자연경관,,,4.831688882772544,자연,산
580,목시물굴,제주특별자치도 제주시 조천읍 선흘리 산26번지 일대,"#4.3 #문화유적지 #문화관광
#제주4.3 #역사유적 #어트랙션",,,5.907151951990954,테마파크/테마관광지,유적지
581,목장카페 드르쿰다,제주특별자치도 서귀포시 표선면 번영로 2454,"#테마공원 #자연경관 #실내관광지
#체험 #어린이 #어트랙션",,,3.4111262929909456,자연,
583,무민랜드,제주특별자치도 서귀포시 안덕면 병악로 420,"#관광지 #안전여행스탬프 #테마공원
#어린이 #문화관광 #실내관광지 #박물관 #미술관 #어트랙션",,,1.0705070975864837,테마파크/테마관광지,유적지외
586,묵리해안포구,제주특별자치도 제주시 추자면 추자로 365-1,"#포구 #해변 #문화유적지
#문화관광 #역사유적",,,5.907151951990954,테마파크/테마관광지,유적지
587,문도지오름 (문돗지),제주특별자치도 제주시 한림읍 금악리 3444,"#오름 #걷기/등산 #자연경관
#도보여행 #도보",,,4.831688882772544,자연,산
589,문화공간 양,제주특별자치도 제주시 거로남6길 13,"#혼자 #미술/박물관 #사계절
#전시 #예술 #문화 #실내관광지 #어트랙션",,,5.3393316432910085,공연/전시,
591,"물메(물미, 수산봉)",제주특별자치도 제주시 애월읍 수산리 산 1-1,"#커플 #혼자 #친구
#경관/포토 #휴식/힐링 #가을 #오름 #청년 #자연경관 #포토스팟",,,4.831688882772544,자연,산
592,물뫼힐링팜,제주특별자치도 제주시 애월읍 예원로 51,"#수산리 #자연경관 #체험
#마을관광 #웰니스 #어트랙션",,,3.4111262929909456,자연,
593,"미야즈클로젯 (해녀복 대여, 해녀 스냅사진 촬영)",제주특별자치도 제주시 용마로4길 15,"#친구 #커플 #경관/포토
#체험관광 #포토스팟 #쇼핑 #관광기념품 #체험",,,16.11434309656213,레저/체험,
594,미요캔들,제주특별자치도 제주시 구남로4길 8-1,"#친구 #커플 #체험관광
#원데이클래스 #소이캔들 #디퓨저 #향수 #티라이트 #체험 #어트랙션",체험,캔들만들기 원데이클래스,16.11434309656213,레저/체험,
597,발이오름,제주특별자치도 제주시 애월읍 어음리 산 1,"#오름 #걷기/등산 #자연경관
#도보여행 #도보",,,4.831688882772544,자연,산
598,배령연대,제주특별자치도 제주시 한림읍 금능리 1649,#문화유적지 #문화관광 #역사유적,,,5.907151951990954,테마파크/테마관광지,유적지
599,백년초농장박물관,제주특별자치도 서귀포시 태평로 200,"#테마공원 #백년초 #실내관광지
#체험 #문화관광 #박물관 #어트랙션",,,16.11434309656213,레저/체험,
603,법화사,제주특별자치도 서귀포시 하원북로 35번길 15-28,#문화유적지 #문화관광 #역사유적,,,5.907151951990954,테마파크/테마관광지,유적지
605,바구스서핑스쿨,제주특별자치도 제주시 테우해안로 143,"#서핑 #서핑스쿨 #체험
#스포츠 #해양스포츠 #수상레저 #어트랙션",해양스포츠,서핑,3.474840539979436,레저/체험,해양레저
606,별도연대,제주특별자치도 제주시 화북1동 1537,"#문화유적지 #맑음 #문화관광
#역사유적 #어트랙션",,,5.907151951990954,테마파크/테마관광지,유적지
607,별도포구,제주특별자치도 제주시 화북1동 4269-12,"#포구 #해변 #문화유적지
#자연경관 #역사유적",,,5.907151951990954,테마파크/테마관광지,유적지
608,"보롬이(하논, 화구구)",제주 서귀포시 대정읍 무릉리 3576,"#커플 #친구 #맑음
#오름 #자연경관",,,4.831688882772544,자연,산
609,본초족욕,제주특별자치도 제주시 은수길 65,#관광지 #안전여행스탬프 #체험,,,16.11434309656213,레저/체험,
611,봉쥬르봉봉,제주특별자치도 제주시 한림읍 한림로 408-2,"#혼자 #체험관광 #원데이클래스
#마그넷 #엽서 #소품샵 #어트랙션",체험,마그넷 만들기 원데이클래스,16.11434309656213,레저/체험,
612,부대악오름,제주특별자치도 제주시 조천읍 선흘리 산 103,"#오름 #걷기/등산 #자연경관
#도보여행 #도보",,,4.831688882772544,자연,산
615,북촌환해장성,제주특별자치도 제주시 조천읍 북촌리,"#부모 #혼자 #아이
#흐림 #문화유적지 #청년 #중/장년 #문화관광 #역사유적 #어린이",,,5.907151951990954,테마파크/테마관광지,유적지
616,별내린전망대,제주특별자치도 서귀포시 색달동 2938-1,"#부모 #커플 #혼자
#친구 #아이 #맑음 #경관/포토 #봄 #포토스팟 #어린이 #어트랙션",,,22.357628585545456,레저/체험,전망대
619,브레이브독스,제주특별자치도 제주시 한림읍 한수풀로 138,"#반려견 #카페 #음식
#어트랙션",,,16.11434309656213,레저/체험,
620,비블리아성서식물원,제주특별자치도 제주시 한림읍 조성로 17,"#수목원 #테마공원 #흐림
#맑음 #실내관광지 #어트랙션",,,1.0705070975864837,테마파크/테마관광지,유적지외
621,비양도의 비양나무자생지,제주특별자치도 제주시 한림읍 협재리 산 89,"#부모 #커플 #친구
#아이 #맑음 #휴식/힐링 #자연경관 #어린이",,,3.4111262929909456,자연,
622,비자림농원,제주특별자치도 제주시 조천읍 선흘동1길 31-71,"#체험관광 #아이 #감귤
#키위 #어린이 #어트랙션",,,16.11434309656213,레저/체험,
623,뽀로로&타요 테마파크 제주,제주특별자치도 서귀포시 안덕면 병악로 269,"#아이 #맑음 #비.눈
#흐림 #테마공원 #실내관광지 #체험 #어린이 #어트랙션",유아시설,,1.0705070975864837,테마파크/테마관광지,유적지외
626,불카분낭 (불타버린 나무),제주특별자치도 제주시 조천읍 선흘리 1136-2,"#4.3 #문화유적지 #문화관광
#제주4.3 #역사유적 #어트랙션",,,5.907151951990954,테마파크/테마관광지,유적지
627,사진놀이터,제주특별자치도 제주시 애월읍 평화로 2835,"#커플 #혼자 #친구
#경관/포토 #휴식/힐링 #체험관광 #실내 #사계절 #실내관광지 #체험 #포토스팟 #어트랙션","체험,공연/전시",,16.11434309656213,레저/체험,
630,산지항 옛터,제주특별자치도 제주시 연무정길 28 (건입동)일대,"#4.3 #문화유적지 #문화관광
#제주4.3 #역사유적 #어트랙션",,,5.907151951990954,테마파크/테마관광지,유적지
632,삼밭구석 & 동광리4·3희생자위령비,제주특별자치도 서귀포시 안덕면 동광리 1425 일대,"#4.3 #문화유적지 #문화관광
#제주4.3 #역사유적 #어트랙션",,,5.907151951990954,테마파크/테마관광지,유적지
633,삼사석,제주특별자치도 제주시 화북1동 1380-1,"#부모 #커플 #혼자
#친구 #아이 #문화유적지 #자연경관 #역사유적 #어트랙션",,,5.907151951990954,테마파크/테마관광지,유적지
634,삼양 셋다리물,제주특별자치도 제주시 삼양1동 1938-9,"#여름 #아이 #용천수
#노천탕 #자연경관 #체험 #어린이 #수상레저",,,3.4111262929909456,자연,해양레저
635,삼양방파제,제주 제주시 삼양3동,"#맑음 #휴식/힐링 #여름
#해변 #낚시 #자연경관 #어트랙션",,,1.639160513065761,자연,바다
637,새시물,제주 제주시 애월읍 애월해안로 620,#휴식/힐링 #자연경관,,,3.4111262929909456,자연,
638,샘이오름,제주 제주시 구좌읍 송당리 산145,"#오름 #걷기/등산 #맑음
#자연경관 #도보여행 #도보",,,4.831688882772544,자연,산
639,서귀본향당,제주특별자치도 서귀포시 정방동,"#문화유적지 #문화관광 #역사유적
#어트랙션",,,5.907151951990954,테마파크/테마관광지,유적지
640,서귀포 궁도장(천지정),제주특별자치도 서귀포시 중산간서로 97-40,"#커플 #친구 #혼자
#액티비티 #자연경관 #체험 #레저/체험 #어트랙션",,,3.4111262929909456,자연,
641,서귀포 다이브센터,제주특별자치도 서귀포시 남원읍 하례리 64-11,"#액티비티 #친구 #커플
#맑음 #체험 #레저/체험 #수상레저 #어트랙션",,,3.474840539979436,레저/체험,해양레저
649,선족이오름(알선족이),제주특별자치도 제주시 구좌읍 송당리 산 140-2,"#오름 #걷기/등산 #자연경관
#도보여행 #도보",,,4.831688882772544,자연,산
650,성산 유채꽃재배단지,제주 서귀포시 성산읍 고성리 270,"#맑음 #봄 #겨울
#경관/포토 #자연경관 #포토스팟 #봄꽃 #유채꽃",,,3.4111262929909456,자연,
651,성산~세화 해안도로,제주특별자치도 서귀포시 성산읍 해맞이해안로 2636,"#일출 #해변 #드라이브
#커플 #맑음 #여름 #자연경관",,,0.5728437187159091,레저/체험,드라이브
652,성산초등학교 서청특별중대 주둔지,제주 서귀포시 성산읍 한도로 217 성산초등학교,"#문화유적지 #맑음 #4.3
#문화관광 #제주4.3 #역사유적 #어트랙션",,,5.907151951990954,테마파크/테마관광지,유적지
653,서귀포층패류화석산지,제주특별자치도 서귀포시 표선면 성읍리 1734,"#경관/포토 #맑음 #봄
#포토스팟 #어트랙션",,,4.831688882772544,자연,산
654,세미오름(삼의양오름),제주특별자치도 제주시 아라동 산 24-2,"#부모 #커플 #혼자
#친구 #아이 #오름 #자연경관 #도보여행 #도보 #어린이",,,4.831688882772544,자연,산
655,세미오름(샘이오름),제주특별자치도 제주시 조천읍 대흘리 산 27-8,"#오름 #걷기/등산 #자연경관
#도보여행 #도보",,,4.831688882772544,자연,산
656,세인트포골프장,제주특별자치도 제주시 구좌읍 선유로 445-55,"#골프 #액티비티 #체험
#레저/체험 #어트랙션",,,62.64206793504546,레저/체험,골프
657,세화항,제주특별자치도 제주시 구좌읍 세화리,#맑음 #자연경관,,,3.4111262929909456,자연,
658,소병악 (족은오름),제주특별자치도 서귀포시 안덕면 상창리 산 2-1,"#혼자 #친구 #맑음
#오름 #자연경관 #도보여행 #도보",,,4.831688882772544,자연,산
659,소수산봉(족은물뫼),제주특별자치도 서귀포시 성산읍 고성리 887,"#오름 #부모 #커플
#혼자 #친구 #아이 #자연경관 #어린이",,,4.831688882772544,자연,산
661,손지오름,제주특별자치도 제주시 구좌읍 종달리 산 52,"#오름 #걷기/등산 #자연경관
#도보여행 #도보",,,4.831688882772544,자연,산
663,솔동산8경,제주 서귀포시 부두로 23,"#문화유적지 #맑음 #자연경관
#문화관광 #역사유적",,,5.907151951990954,테마파크/테마관광지,유적지
664,송계순집터,제주특별자치도 서귀포시 대정읍 안성리 1681-1,"#맑음 #문화유적지 #사계절
#자연경관 #문화관광 #역사유적 #어트랙션",,,5.907151951990954,테마파크/테마관광지,유적지
665,송령이골,제주특별자치도 서귀포시 남원읍 한신로143번길 99,"#4.3 #문화유적지 #문화관광
#제주4.3 #역사유적 #어트랙션",,,5.907151951990954,테마파크/테마관광지,유적지
668,송죽사터,제주특별자치도 서귀포시 대정읍 안성리,"#문화유적지 #아이 #부모
#혼자 #친구 #미술/박물관 #올레 #역사유적 #어린이 #어트랙션",,,5.907151951990954,테마파크/테마관광지,유적지
669,수악 (물오름),제주특별자치도 서귀포시 남원읍 516로 1042,"#오름 #부모 #커플
#혼자 #친구 #맑음 #경관/포토 #휴식/힐링 #사계절 #자연경관 #도보여행 #도보 #포토스팟",,,4.831688882772544,자연,산
670,수월이못,제주특별자치도 서귀포시 대정읍 안성리 1747,"#문화유적지 #부모 #커플
#혼자 #친구 #아이 #휴식/힐링 #자연경관 #문화관광 #역사유적",,,5.907151951990954,테마파크/테마관광지,유적지
671,스누피가든,제주특별자치도 제주시 구좌읍 금백조로 930,"#커플 #친구 #아이
#맑음 #흐림 #휴식/힐링 #경관/포토 #테마공원 #휴식/치유 #우수관광사업체 #자연경관 #실내관광지 #체험 #포토스팟 #어린이 #어트랙션",,,3.4111262929909456,자연,
672,손방둥이,제주특별자치도 제주시 한경면 산양6길 6-9,"#부모 #아이 #체험관광
#실내관광지 #체험 #어린이 #어트랙션",체험,,16.11434309656213,레저/체험,
673,스위트호텔 아로마,제주특별자치도 서귀포시 중문관광로72번길 67,"#겨울 #스파 #호텔
#체험 #어트랙션",,,28.627041274004547,레저/체험,헬스케어
675,스프링데일CC,제주특별자치도 서귀포시 남원읍 서성로 459번지,"#골프 #액티비티 #체험
#레저/체험 #어트랙션",,,62.64206793504546,레저/체험,골프
676,신산공원,제주특별자치도 제주시 신산로 92-12,"#아이 #걷기/등산 #휴식/힐링
#테마공원 #자연경관 #어린이 #봄꽃 #벚꽃",,,4.831688882772544,자연,산
677,신산환해장성,제주특별자치도 서귀포시 성산읍 신산리,"#문화유적지 #흐림 #자연경관
#문화관광 #역사유적",,,5.907151951990954,테마파크/테마관광지,유적지
678,신양포구,제주특별자치도 서귀포시 성산읍 고성리,"#포구 #해변 #문화유적지
#맑음 #자연경관 #역사유적",,,5.907151951990954,테마파크/테마관광지,유적지
679,신양해안도로,제주 서귀포시 성산읍 난고로34번길 62-8,"#해변 #드라이브 #친구
#커플 #맑음 #자연경관",,,0.5728437187159091,레저/체험,드라이브
680,신엄포구,제주 제주시 애월읍 애월해안로 416,"#커플 #일몰 #사계절
#포구 #자연경관",,,1.639160513065761,자연,바다
681,신천리(용궁올레),제주 서귀포시 성산읍 신천리,"#커플 #친구 #맑음
#경관/포토 #휴식/힐링 #해변 #도보여행 #도보 #포토스팟",,,1.639160513065761,자연,바다
683,신화워터파크,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,"#아이 #사계절 #액티비티
#실내관광지 #체험 #레저/체험 #어린이 #수상레저 #테마공원 #어트랙션 #안전여행스탬프 #제주신화월드",,,3.474840539979436,레저/체험,해양레저
687,심헌갤러리,제주특별자치도 제주시 아란14길 3,"#미술/박물관 #전시 #경관/포토
#실내 #실내관광지 #문화관광 #포토스팟 #어트랙션",,,5.3393316432910085,공연/전시,
690,아일랜드에프,"제주특별자치도 서귀포시 성산읍 성산등용로 112-7, 2층","#선상낚시 #낚시체험 #선상리조트
#체험 #어트랙션","해양스포츠,체험","숙박,낚시,식음",3.474840539979436,레저/체험,해양레저
694,"알밤(알바매기, 알밤오름)",제주특별자치도 제주시 조천읍 선흘남4길 229,"#부모 #커플 #혼자
#친구 #아이 #맑음 #오름 #자연경관 #도보여행 #도보 #어린이",,,4.831688882772544,자연,산
695,알오름(성산읍),제주 제주시 화북일동,"#커플 #친구 #맑음
#오름 #자연경관 #도보여행 #도보",,,4.831688882772544,자연,산
696,알제이,제주특별자치도 제주시 한경면 고산로 13-4 2F,"#휴식/힐링 #체험관광 #체험
#레저/체험 #수상레저 #어트랙션",,,3.474840539979436,레저/체험,해양레저
697,애월스쿠버다이빙스쿨,제주특별자치도 제주시 애월읍 애월로13길 45,"#애월 #스쿠버다이빙 #다이빙
#마린스포츠 #체험 #레저/체험 #수상레저 #어트랙션","해양스포츠,체험",스쿠버다이,3.474840539979436,레저/체험,해양레저
698,애월환해장성,제주특별자치도 제주시 애월읍 애월로3길 60,"#문화유적지 #가을 #자연경관
#문화관광 #역사유적",,,5.907151951990954,테마파크/테마관광지,유적지
699,액트(AC.lll.T) 볼링장,제주특별자치도 서귀포시 안덕면 신화역사로304번길 98,"#볼링 #맥주 #사계절
#실내관광지 #체험 #어트랙션",,,16.11434309656213,레저/체험,
702,연대포구,제주특별자치도 제주시 외도2동,"#포구 #부모 #아이
#친구 #문화유적지 #해변 #역사유적 #어린이",,,5.907151951990954,테마파크/테마관광지,유적지
704,연북정,제주특별자치도 제주시 조천읍 조천리 2690,"#문화유적지 #커플 #아이
#자연경관 #문화관광 #역사유적 #어트랙션",,,5.907151951990954,테마파크/테마관광지,유적지
706,영등할망 신화공원,제주특별자치도 제주시 한림읍 귀덕11길 19,"#테마공원 #경관/포토 #문화유적지
#역사유적 #포토스팟 #어트랙션",,,5.907151951990954,테마파크/테마관광지,유적지
707,애월연대,제주 제주시 애월읍 애월리,"#문화유적지 #문화관광 #역사유적
#어트랙션",,,5.907151951990954,테마파크/테마관광지,유적지
710,예래해안도로,제주 서귀포시 상예동,"#해변 #드라이브 #맑음
#커플 #아이 #혼자 #친구 #부모 #자연경관 #어린이",,,0.5728437187159091,레저/체험,드라이브
712,예절이오름(여절악),제주특별자치도 서귀포시 남원읍 신흥리 산 18,"#커플 #혼자 #친구
#맑음 #오름 #봄 #가을 #자연경관 #도보여행 #도보",,,4.831688882772544,자연,산
714,오름터 민속마을,제주특별자치도 서귀포시 표선면 성읍정의현로 99,"#오름 #문화유적지 #아이
#흐림 #문화관광 #역사유적 #도보여행 #도보 #마을산책 #마을관광 #어린이",,,5.907151951990954,테마파크/테마관광지,유적지
715,오림반,제주특별자치도 서귀포시 남원읍 신례리,"#4.3 #문화유적지 #문화관광
#제주4.3 #역사유적 #어트랙션",,,5.907151951990954,테마파크/테마관광지,유적지
716,영모원,제주 제주시 애월읍 하귀1리 1134-1,"#문화유적지 #문화관광 #역사유적
#어트랙션",,,5.907151951990954,테마파크/테마관광지,유적지
717,옥돔마을,제주특별자치도 서귀포시 남원읍 남태해안로 508,"#부모 #커플 #혼자
#친구 #아이 #체험관광 #체험 #마을산책 #마을관광 #어린이 #언택트 #어트랙션",,,1.0705070975864837,테마파크/테마관광지,유적지외
718,온평리 환해장성,제주 서귀포시 성산읍 온평리,"#문화유적지 #사계절 #올레
#해변 #커플 #친구 #자연경관 #문화관광 #역사유적",,,5.907151951990954,테마파크/테마관광지,유적지
721,옹포천,제주특별자치도 제주시 한림읍 한림로 563,#휴식/힐링 #맑음 #자연경관,,,3.4111262929909456,자연,
722,옹포포구,제주특별자치도 제주시 한림읍 옹포리,"#포구 #일몰 #해변
#걷기 #커플 #자연경관",,,1.639160513065761,자연,바다
724,용담 1동 벽화거리,제주특별자치도 제주시 서문로5길 1,##예술 #경관/포토 #문화관광 #포토스팟,,,1.0705070975864837,테마파크/테마관광지,유적지외
725,용연카누클럽,제주 제주시 흥운길 79,"#커플 #친구 #맑음
#경관/포토 #휴식/힐링 #체험관광 #액티비티 #청년 #휴식/치유 #체험 #레저/체험 #포토스팟 #waterleisure #수상레저 #어트랙션",,,3.474840539979436,레저/체험,해양레저
727,"웃밤(웃바매기,웃밤오름)",제주특별자치도 제주시 조천읍 선흘리 산 84,"#오름 #걷기/등산 #자연경관
#도보여행 #도보",,,4.831688882772544,자연,산
728,웃세오름(족은오름),제주 제주시 애월읍 광령리,"#오름 #걷기/등산 #친구
#자연경관 #도보여행 #도보",,,4.831688882772544,자연,산
729,원동,제주특별자치도 제주시 애월읍 소길리 1364 일대,"#4.3 #문화유적지 #문화관광
#제주4.3 #역사유적 #어트랙션",,,5.907151951990954,테마파크/테마관광지,유적지
730,월나봉(도래오름),제주특별자치도 서귀포시 안덕면 감산리 1148 일대,"#친구 #커플 #맑음
#오름 #자연경관 #도보여행 #도보",,,4.831688882772544,자연,산
731,월라봉(효돈),제주 서귀포시 신효동,"#오름 #등산 #휴식
#자연경관 #언택트",,,4.831688882772544,자연,산
733,유민미술관,제주특별자치도 서귀포시 성산읍 고성리 21,"#예술 #실내 #미술/박물관
#비.눈 #사계절 #실내관광지 #문화관광 #미술관 #어트랙션",공연/전시,,5.3393316432910085,공연/전시,
734,육시우영,제주특별자치도 제주시 애월읍 하가리,"#4.3 #문화유적지 #문화관광
#제주4.3 #역사유적 #어트랙션",,,5.907151951990954,테마파크/테마관광지,유적지
737,이로이로공방,제주특별자치도 제주시 구좌읍 하도7길 16-11,"#친구 #혼자 #휴식/힐링
#체험관광 #원데이클래스 #프랑스자수 #캘리그라피 #체험 #어트랙션",체험,프랑스자수 원데이클래스,1.9621837251333332,레저/체험,공방
739,이음새,제주특별자치도 서귀포시 남원읍 위미리 4137-1,"#체험 #염색체험 #힐링
#어트랙션",,,16.11434309656213,레저/체험,
741,이호털보네배낚시,제주특별자치도 제주시 이호1동 1787,"#낚시 #액티비티 #친구
#체험 #레저/체험 #어트랙션",,,16.11434309656213,레저/체험,
743,임문숙 가족 헛묘,제주특별자치도 서귀포시 안덕면 동광리 807-4,"#4.3 #문화유적지 #문화관광
#제주4.3 #역사유적 #어트랙션",,,5.907151951990954,테마파크/테마관광지,유적지
